X_Y    13CO J=2-1    C+ 158um    CH+ J=1-0    CO J=10-9    CO J=2-1    HCO+ J=3-2
23_1    4.421112e-07    0.0024595908    1.8399907e-06    4.542912e-05    2.5306629e-06    1.0008157e-07
24_1    5.1288157e-07    0.0022817524    1.8499833e-06    3.372871e-05    2.4837543e-06    8.6345786e-08
25_1    5.436623e-07    0.002272293    1.6500105e-06    3.869918e-05    2.5799147e-06    7.246137e-08
26_1    5.506588e-07    0.0022957555    1.0315877e-06    4.854213e-05    2.7157134e-06    8.066831e-08
27_1    5.443558e-07    0.0023390811    9.328958e-07    4.768581e-05    2.552405e-06    8.581238e-08
28_1    4.99986e-07    0.002323936    1.1036228e-06    2.9210563e-05    2.126449e-06    6.4893165e-08
29_1    4.241948e-07    0.0021195216    2.515204e-07    1.4367539e-05    1.7888251e-06    3.879609e-08
30_1    3.4853102e-07    0.0018156443    8.306769e-08    6.1803944e-06    1.6339649e-06    3.3819397e-08
31_1    2.8084563e-07    0.0015684305    -3.541879e-07    1.7297011e-06    1.5747169e-06    2.254691e-08
32_1    2.2782007e-07    0.0015427963    2.5786628e-07    3.3652495e-06    1.5210553e-06    1.6241845e-08
33_1    1.8854792e-07    0.0016651845    1.0433678e-07    3.4276839e-06    1.4591155e-06    2.08444e-08
34_1    1.6317635e-07    0.0017049877    9.324017e-08    6.3329667e-06    1.4451056e-06    2.386085e-08
35_1    1.5552374e-07    0.0016371192    -3.5172513e-07    5.4939032e-06    1.4657226e-06    1.8596477e-08
36_1    1.6364547e-07    0.0016372772    -2.7120456e-07    3.88937e-06    1.4549647e-06    8.423014e-09
37_1    1.7643528e-07    0.0017084776    8.765054e-07    2.3959128e-06    1.399612e-06    1.756506e-08
38_1    1.8118571e-07    0.0017275269    1.000409e-06    7.944405e-07    1.3291243e-06    3.5622744e-08
39_1    1.7612172e-07    0.0017018216    9.731173e-07    2.0375653e-06    1.2816755e-06    6.877985e-08
40_1    1.7200297e-07    0.0016815868    nan    2.6563057e-06    1.262261e-06    9.2046584e-08
0_2    7.15195e-08    0.0015005647    3.5818044e-07    -1.5023637e-06    1.0875701e-06    nan
1_2    7.27171e-08    0.0014882733    3.478392e-07    -1.2792626e-06    1.0917847e-06    nan
2_2    7.35547e-08    0.0015051701    3.541993e-07    -1.4428538e-07    1.1046301e-06    nan
3_2    7.268216e-08    0.0016331681    1.4877268e-06    1.8944954e-06    1.144955e-06    nan
4_2    7.7740125e-08    0.0018285124    8.052338e-07    2.699041e-06    1.2528723e-06    nan
5_2    9.4236775e-08    0.0019970203    8.656599e-07    5.0376266e-06    1.4726716e-06    9.2064056e-08
6_2    1.2341977e-07    0.0020434782    7.7280083e-07    1.264101e-05    1.7554698e-06    9.122612e-08
7_2    1.5710506e-07    0.0019974017    1.8646659e-06    2.6081852e-05    1.9317413e-06    9.0045994e-08
8_2    1.822865e-07    0.0019632704    1.6936178e-06    2.827118e-05    1.9276636e-06    7.480085e-08
9_2    1.8818791e-07    0.0019693775    1.4223946e-06    1.1587642e-05    1.8552969e-06    3.700282e-08
10_2    1.9243907e-07    0.0018728925    6.8567294e-07    7.378353e-06    1.8287811e-06    1.1700599e-08
11_2    2.0119585e-07    0.0016944242    1.3789946e-07    6.9815887e-06    1.8235971e-06    1.1561415e-08
12_2    1.9821421e-07    0.0016504381    -2.813182e-07    5.743213e-06    1.796025e-06    1.4180667e-08
13_2    1.7863925e-07    0.0018204635    -1.8796024e-08    4.756983e-06    1.7555369e-06    1.18091e-08
14_2    1.6153773e-07    0.0020524904    1.3714434e-08    4.5774727e-06    1.7226992e-06    1.5481064e-08
15_2    1.5939061e-07    0.0023293642    1.330567e-06    7.799778e-06    1.7273444e-06    2.6475249e-08
16_2    1.7706137e-07    0.0026757494    8.187316e-07    1.7912773e-05    1.8656168e-06    7.416714e-08
17_2    2.3708924e-07    0.0029728643    2.5991603e-06    6.1332226e-05    2.2057236e-06    1.5620068e-07
18_2    3.5277125e-07    0.0032723895    4.463614e-06    0.00012382686    2.598615e-06    1.9057434e-07
19_2    4.5657848e-07    0.0034425643    5.5362593e-06    0.00015105869    2.7822757e-06    1.6296019e-07
20_2    4.6311115e-07    0.0033624973    4.205898e-06    0.0001287684    2.7743386e-06    1.2471835e-07
21_2    4.2454653e-07    0.0031278504    2.7056003e-06    9.7778146e-05    2.7235526e-06    1.1089791e-07
22_2    4.3021987e-07    0.0027985699    1.703585e-06    6.5971115e-05    2.6719044e-06    1.00434306e-07
23_2    4.8644876e-07    0.0024878487    1.6500245e-06    4.6302328e-05    2.58349e-06    8.7501036e-08
24_2    5.480637e-07    0.0023136078    1.8554979e-06    3.4434826e-05    2.5237912e-06    7.470355e-08
25_2    5.7157126e-07    0.0022931432    1.5626015e-06    3.854592e-05    2.6185942e-06    7.0392936e-08
26_2    5.714119e-07    0.0023086471    1.0999295e-06    4.876146e-05    2.7603598e-06    8.4212786e-08
27_2    5.587778e-07    0.002349112    1.1318809e-06    5.046202e-05    2.6230161e-06    8.2852765e-08
28_2    5.085137e-07    0.0023351093    1.3641729e-06    3.370216e-05    2.2007014e-06    5.0803326e-08
29_2    4.283586e-07    0.0021352766    6.7876715e-07    1.6218417e-05    1.8304264e-06    2.1964357e-08
30_2    3.5273686e-07    0.0018454706    1.786912e-07    6.7819715e-06    1.6471614e-06    1.596619e-08
31_2    2.864442e-07    0.0016086794    -3.218412e-07    2.5227607e-06    1.5681727e-06    1.7083755e-08
32_2    2.3400551e-07    0.001583988    3.1958848e-07    3.8995126e-06    1.5118882e-06    2.0515142e-08
33_2    1.9619135e-07    0.0016883682    -3.7379987e-08    3.5621513e-06    1.4564941e-06    1.9188287e-08
34_2    1.7001065e-07    0.0017219624    -3.4187096e-07    6.3557536e-06    1.4311076e-06    1.5165321e-08
35_2    1.5990624e-07    0.0016619801    -3.5927417e-07    5.439314e-06    1.4296074e-06    7.59721e-09
36_2    1.689008e-07    0.0016636343    -8.574092e-08    3.7197922e-06    1.4201403e-06    1.4991736e-09
37_2    1.8635768e-07    0.001722758    7.9368596e-07    2.8023785e-06    1.4002593e-06    1.2906072e-08
38_2    1.9746437e-07    0.0017370961    9.3404685e-07    2.0677278e-06    1.3720122e-06    1.7481566e-08
39_2    1.9736208e-07    0.0017112907    1.1130062e-06    3.1555242e-06    1.3487722e-06    2.137929e-08
40_2    1.9526831e-07    0.0016938226    1.133222e-06    3.6384365e-06    1.337862e-06    2.5116034e-08
0_3    8.0422026e-08    0.0014907523    9.968447e-07    -2.1918152e-06    1.2238514e-06    nan
1_3    8.111768e-08    0.0014886839    9.91412e-07    -1.7150926e-06    1.2264176e-06    nan
2_3    8.155407e-08    0.0015203872    3.3232902e-07    -1.7044562e-07    1.2348113e-06    nan
3_3    8.169196e-08    0.0016463718    4.750351e-07    8.563757e-07    1.2677325e-06    nan
4_3    8.843686e-08    0.0018213496    1.1246607e-06    1.1745253e-06    1.3729101e-06    nan
5_3    1.0686463e-07    0.0019732348    9.3228067e-07    3.881447e-06    1.5908979e-06    7.579904e-08
6_3    1.3586659e-07    0.0020219693    8.842876e-07    1.1143705e-05    1.8740254e-06    7.429925e-08
7_3    1.6937551e-07    0.0019967135    1.1894583e-06    2.1991405e-05    2.0687924e-06    6.9637984e-08
8_3    1.9809413e-07    0.0019777531    1.5971091e-06    2.4094586e-05    2.076881e-06    5.343066e-08
9_3    2.0356967e-07    0.0019825383    1.0678913e-06    1.1367234e-05    1.981323e-06    1.9522279e-08
10_3    2.018242e-07    0.0018865748    7.438428e-07    6.7286815e-06    1.9199585e-06    -6.858666e-09
11_3    2.0568869e-07    0.0017043655    6.01355e-07    5.366126e-06    1.908176e-06    -3.9391934e-09
12_3    2.0238393e-07    0.0016511877    -4.4254016e-08    4.927472e-06    1.8911735e-06    3.1339628e-10
13_3    1.86285e-07    0.0018114037    6.2430146e-08    3.0327178e-06    1.866219e-06    -6.178073e-09
14_3    1.7254277e-07    0.0020446056    4.203859e-07    4.5281786e-06    1.8635682e-06    -3.5085108e-09
15_3    1.7475261e-07    0.0023247877    8.0485523e-07    7.252639e-06    1.8900341e-06    4.3324113e-09
16_3    1.9152492e-07    0.0026705072    8.568985e-07    1.31321385e-05    1.9862398e-06    3.2661347e-08
17_3    2.3035967e-07    0.002970866    1.7984191e-06    4.0907595e-05    2.2054783e-06    9.5866625e-08
18_3    3.1466664e-07    0.0032745856    2.6798934e-06    9.141689e-05    2.4889382e-06    1.4802946e-07
19_3    4.1146603e-07    0.003451939    4.8883926e-06    0.00011176193    2.6583007e-06    1.5082779e-07
20_3    4.4507917e-07    0.0033775335    4.329373e-06    0.000101828824    2.7065348e-06    1.3059235e-07
21_3    4.543756e-07    0.0031418474    3.3950976e-06    8.837869e-05    2.7425224e-06    1.18968046e-07
22_3    4.9445555e-07    0.002823525    2.863562e-06    6.7072055e-05    2.7342985e-06    9.764689e-08
23_3    5.505482e-07    0.0025442534    2.290912e-06    4.901384e-05    2.6444181e-06    7.418298e-08
24_3    5.9533926e-07    0.0023869441    1.4707394e-06    3.7486443e-05    2.57522e-06    6.313305e-08
25_3    6.057529e-07    0.0023500044    1.5985094e-06    3.9696428e-05    2.6678274e-06    7.021801e-08
26_3    6.024708e-07    0.0023540081    1.4521925e-06    5.141458e-05    2.837921e-06    8.929156e-08
27_3    5.935003e-07    0.002406469    1.4105327e-06    6.3562366e-05    2.7619262e-06    8.206932e-08
28_3    5.4196784e-07    0.002415503    2.037959e-06    5.22775e-05    2.3509092e-06    4.2528278e-08
29_3    4.539224e-07    0.002226045    1.349732e-06    2.4743933e-05    1.917469e-06    1.0444092e-08
30_3    3.7389094e-07    0.0019351946    1.4123229e-07    9.309122e-06    1.6764081e-06    1.2976713e-09
31_3    3.0727765e-07    0.0017070426    -1.0905753e-07    4.870628e-06    1.5713194e-06    9.478082e-09
32_3    2.548526e-07    0.0016907773    6.452302e-07    5.1786933e-06    1.5155387e-06    1.5587874e-08
33_3    2.1683888e-07    0.0017874166    -1.2807318e-07    4.092042e-06    1.4661949e-06    8.214596e-09
34_3    1.8923504e-07    0.0018045583    -4.4975303e-07    6.088983e-06    1.4217621e-06    -2.5638647e-09
35_3    1.7855928e-07    0.0017427602    -4.0490443e-07    5.646238e-06    1.396553e-06    -1.5946474e-08
36_3    1.8692424e-07    0.0017420283    7.000824e-07    4.349349e-06    1.4073214e-06    -2.2100311e-08
37_3    2.0674842e-07    0.0017833239    1.0081834e-06    6.0326934e-06    1.4508229e-06    -5.5383147e-09
38_3    2.2592408e-07    0.0017733059    1.3811543e-06    6.847046e-06    1.4742773e-06    6.294863e-09
39_3    2.3523283e-07    0.0017328683    1.93838e-06    7.1598893e-06    1.4703827e-06    4.562917e-09
40_3    2.3784061e-07    0.0017113321    2.044619e-06    7.2537036e-06    1.4647716e-06    1.8247801e-09
0_4    9.104496e-08    0.0014647032    3.2333708e-07    -4.2876045e-06    1.3450871e-06    nan
1_4    9.17749e-08    0.0014874006    3.04833e-07    -3.2444088e-06    1.3525672e-06    nan
2_4    9.265227e-08    0.0015534282    1.4988748e-07    -5.536914e-07    1.3654449e-06    nan
3_4    9.429214e-08    0.0016641616    6.3127266e-07    -3.18201e-07    1.3877227e-06    nan
4_4    1.0294248e-07    0.0017810452    6.389038e-07    1.3539232e-06    1.4643816e-06    nan
5_4    1.2184385e-07    0.0018883072    5.640683e-07    4.3436094e-06    1.6483451e-06    4.9092414e-08
6_4    1.4921321e-07    0.0019501019    9.75466e-07    8.945272e-06    1.9279241e-06    5.037569e-08
7_4    1.8396963e-07    0.001992656    1.931717e-06    1.8387453e-05    2.161062e-06    5.1654293e-08
8_4    2.2095936e-07    0.0020207237    1.6788931e-06    2.3121607e-05    2.2079598e-06    4.614411e-08
9_4    2.3241392e-07    0.0020232582    1.4462034e-06    1.5526253e-05    2.1210453e-06    2.3637524e-08
10_4    2.2870556e-07    0.001925701    4.6549945e-07    9.411165e-06    2.0452906e-06    -2.8449236e-09
11_4    2.2479992e-07    0.0017365646    2.8331962e-07    6.9473144e-06    2.0349362e-06    -9.341301e-09
12_4    2.1670462e-07    0.0016619026    3.4639365e-07    7.350625e-06    2.0246803e-06    -3.9733905e-09
13_4    2.0392787e-07    0.0017876977    3.7621126e-07    3.2226064e-06    1.998619e-06    -9.450149e-09
14_4    1.9809998e-07    0.002011826    -2.1061823e-08    4.941577e-06    2.003706e-06    -1.5185645e-08
15_4    2.0840575e-07    0.0022909832    3.1919757e-07    7.881142e-06    2.0558487e-06    -8.496235e-09
16_4    2.2734896e-07    0.0026240195    8.3375755e-07    9.929716e-06    2.1381875e-06    6.594668e-09
17_4    2.512533e-07    0.0029248653    9.97935e-07    1.8596496e-05    2.2361803e-06    3.490908e-08
18_4    2.9104638e-07    0.003234093    1.4763908e-06    3.7905982e-05    2.3359771e-06    6.5980224e-08
19_4    3.414485e-07    0.0034313619    3.6042252e-06    4.579096e-05    2.4079297e-06    8.068977e-08
20_4    3.839019e-07    0.0033809582    2.4426827e-06    4.9731938e-05    2.490986e-06    8.877453e-08
21_4    4.474377e-07    0.0031535646    2.9948612e-06    6.061807e-05    2.645847e-06    1.01936024e-07
22_4    5.420963e-07    0.0028777497    2.176782e-06    5.9262315e-05    2.7526905e-06    9.471777e-08
23_4    6.172737e-07    0.0026946391    1.8773234e-06    5.2334402e-05    2.7196966e-06    7.733148e-08
24_4    6.493898e-07    0.002588888    2.1645676e-06    4.578607e-05    2.667607e-06    7.622681e-08
25_4    6.4345977e-07    0.0025078931    2.298374e-06    4.9304694e-05    2.7674153e-06    9.653233e-08
26_4    6.417384e-07    0.0024856878    2.3856544e-06    6.249819e-05    2.975411e-06    1.1459719e-07
27_4    6.494215e-07    0.002583285    2.6907733e-06    9.030609e-05    2.9537841e-06    1.08744445e-07
28_4    6.055336e-07    0.002665866    3.5044923e-06    8.429419e-05    2.5472837e-06    7.388583e-08
29_4    5.042757e-07    0.0025100978    2.1442993e-06    4.237318e-05    2.0397617e-06    3.4502634e-08
30_4    4.0535102e-07    0.002215257    6.7535404e-07    1.4255185e-05    1.7288506e-06    1.1230473e-08
31_4    3.3187652e-07    0.0020012092    -3.344238e-08    5.7300413e-06    1.5939553e-06    5.085121e-09
32_4    2.807209e-07    0.0019875818    2.485818e-07    4.417545e-06    1.5278521e-06    3.1647973e-09
33_4    2.4050274e-07    0.0020514664    4.6163425e-08    4.3459554e-06    1.4709806e-06    -1.5637512e-09
34_4    2.1281674e-07    0.0020365217    4.312485e-08    4.923086e-06    1.4264705e-06    -4.8418327e-09
35_4    2.0726947e-07    0.001982801    2.511233e-07    7.5185244e-06    1.4267673e-06    -1.2568099e-08
36_4    2.1673239e-07    0.001974301    1.4085432e-06    1.0896837e-05    1.4933402e-06    -1.5583552e-08
37_4    2.3401061e-07    0.0019465758    1.2108785e-06    1.6103604e-05    1.5800516e-06    -1.80584e-10
38_4    2.553601e-07    0.0018373744    8.9019017e-07    1.1973155e-05    1.5952205e-06    1.9523911e-08
39_4    2.6744056e-07    0.0017373463    1.6506909e-06    9.661172e-06    1.5674328e-06    2.3690832e-08
40_4    2.7103948e-07    0.001697556    1.8264661e-06    9.385322e-06    1.5499465e-06    2.1933179e-08
0_5    1.0697921e-07    0.0014337832    3.201871e-08    -3.2753833e-06    1.404806e-06    nan
1_5    1.09128884e-07    0.0014816585    4.4643404e-08    -2.6071377e-06    1.4139632e-06    nan
2_5    1.1305717e-07    0.0015712152    3.892083e-07    -1.1136615e-06    1.4270449e-06    nan
3_5    1.1554116e-07    0.0016315487    -2.3792937e-07    -1.1371612e-06    1.4357132e-06    nan
4_5    1.1834721e-07    0.0016599619    -9.138286e-08    2.0185182e-06    1.4755491e-06    nan
5_5    1.2961407e-07    0.0017114249    2.9122106e-07    3.9417696e-06    1.61638e-06    3.4365605e-08
6_5    1.5026478e-07    0.0018140943    7.291429e-07    8.114259e-06    1.8929953e-06    4.0569013e-08
7_5    1.8067942e-07    0.0019768286    1.4848389e-06    1.9193369e-05    2.167255e-06    4.4139682e-08
8_5    2.227124e-07    0.0020818475    1.1610564e-06    2.5371139e-05    2.2550141e-06    4.9228206e-08
9_5    2.4912796e-07    0.0020819209    1.2766689e-06    1.9542786e-05    2.2056133e-06    4.5151925e-08
10_5    2.5714886e-07    0.0019764784    6.190724e-07    1.32892e-05    2.1497567e-06    2.7800242e-08
