X_Y    13CO J=2-1    C+ 158um    CH+ J=1-0    CO J=10-9    CO J=2-1    HCO+ J=3-2
23_1    1.9292608e-09    6.6894872e-06    1.2359077e-07    1.0203031e-06    1.2311901e-09    1.0501071e-08
24_1    1.5860872e-09    6.8504473e-06    8.749163e-08    1.0061979e-06    1.4577687e-09    1.1831904e-08
25_1    1.6314915e-09    6.9210337e-06    8.1671445e-08    1.1510954e-06    1.5796895e-09    1.1104623e-08
26_1    1.8689943e-09    6.7393735e-06    9.9128535e-08    1.0116827e-06    1.1257373e-09    9.977353e-09
27_1    1.9692397e-09    6.238821e-06    1.0688411e-07    9.61232e-07    1.1581297e-09    9.964944e-09
28_1    1.7984356e-09    6.4869905e-06    1.485856e-07    1.1111274e-06    1.2629546e-09    1.0790593e-08
29_1    1.5686226e-09    6.6078574e-06    1.6885893e-07    9.511043e-07    1.2845658e-09    1.04650075e-08
30_1    1.6298255e-09    6.3943107e-06    1.841246e-07    1.02624e-06    1.3743776e-09    9.931372e-09
31_1    1.680721e-09    6.757471e-06    1.1186511e-07    1.0358037e-06    1.2529099e-09    9.638346e-09
32_1    1.9475286e-09    6.148249e-06    7.9312755e-08    9.712672e-07    1.0124768e-09    1.0060577e-08
33_1    1.6596566e-09    6.486665e-06    1.15920216e-07    1.0903502e-06    1.4050716e-09    9.922167e-09
34_1    1.2304415e-09    6.6290854e-06    1.2103416e-07    9.737964e-07    1.4415832e-09    9.685105e-09
35_1    1.9381665e-09    6.209074e-06    8.5753776e-08    9.822775e-07    2.3625086e-09    1.0791894e-08
36_1    2.6293023e-09    6.2284857e-06    1.340871e-07    9.620835e-07    1.981175e-09    1.38891725e-08
37_1    2.9752831e-09    6.6070183e-06    1.4222283e-07    9.558936e-07    1.452391e-09    1.6804629e-08
38_1    2.4262965e-09    8.231297e-06    1.677331e-07    1.2018918e-06    1.7897382e-09    2.5098647e-08
39_1    2.7022011e-09    1.337145e-05    1.4258872e-07    1.8220934e-06    2.8689287e-09    4.6420613e-08
40_1    3.3325056e-09    1.7358352e-05    nan    2.0876273e-06    3.4809702e-09    6.2097754e-08
0_2    2.6189788e-09    1.6981197e-05    1.2276314e-07    2.0614823e-06    1.9541027e-09    nan
1_2    2.1319457e-09    1.343877e-05    1.1815178e-07    1.7203256e-06    1.6527892e-09    nan
2_2    1.7071154e-09    8.387358e-06    1.2111961e-07    9.832297e-07    1.430431e-09    nan
3_2    1.412183e-09    7.0965502e-06    1.2184722e-07    7.775033e-07    1.7362387e-09    nan
4_2    1.5873561e-09    6.8732757e-06    8.1634845e-08    9.628243e-07    2.1545374e-09    nan
5_2    1.6864733e-09    6.7812284e-06    1.0916645e-07    8.8834713e-07    2.0243809e-09    3.9341074e-08
6_2    1.8751598e-09    6.6187745e-06    1.13623045e-07    8.4824774e-07    1.5897075e-09    3.4401822e-08
7_2    1.8567975e-09    6.561525e-06    1.2079956e-07    9.1783073e-07    1.7668194e-09    2.5834538e-08
8_2    1.9842075e-09    6.453756e-06    7.19247e-08    8.078679e-07    1.7874248e-09    1.5386817e-08
9_2    2.404168e-09    6.440677e-06    8.992556e-08    8.356006e-07    1.3783081e-09    1.1252211e-08
10_2    1.7444685e-09    6.485173e-06    7.427212e-08    8.0478213e-07    1.648739e-09    9.173537e-09
11_2    1.7068728e-09    6.7604774e-06    1.1608771e-07    7.8914167e-07    1.7398436e-09    8.974335e-09
12_2    1.4846244e-09    6.7820874e-06    1.0966413e-07    9.0857117e-07    1.7402815e-09    7.674897e-09
13_2    1.5567831e-09    6.4547307e-06    9.9692386e-08    8.292077e-07    1.3116822e-09    7.901653e-09
14_2    1.7201384e-09    6.5190543e-06    1.1488751e-07    8.2266394e-07    1.1703108e-09    8.266832e-09
15_2    1.4207625e-09    6.866922e-06    1.5687841e-07    9.003415e-07    1.3222938e-09    9.10008e-09
16_2    1.5932152e-09    6.7533883e-06    9.059043e-08    9.64471e-07    1.0628929e-09    9.251261e-09
17_2    1.6341541e-09    6.388999e-06    9.6436295e-08    9.571811e-07    1.4185744e-09    8.747947e-09
18_2    1.3303362e-09    6.655595e-06    1.510146e-07    8.754136e-07    1.5214751e-09    8.007289e-09
19_2    1.3584757e-09    6.567583e-06    1.1440928e-07    7.541089e-07    1.6146495e-09    8.4173255e-09
20_2    1.3910307e-09    6.4809838e-06    1.0138239e-07    8.2658937e-07    1.6309704e-09    8.4329566e-09
21_2    1.5336103e-09    6.076912e-06    1.02605824e-07    8.281861e-07    1.3092707e-09    7.979634e-09
22_2    1.5174492e-09    6.093709e-06    1.1384998e-07    9.17076e-07    1.3437407e-09    8.344801e-09
23_2    1.5017066e-09    6.2114527e-06    1.0965391e-07    9.027866e-07    1.2995547e-09    8.7965e-09
24_2    1.3523254e-09    6.3848543e-06    7.373593e-08    8.7984495e-07    1.2939092e-09    9.635024e-09
25_2    1.2132769e-09    6.461662e-06    8.458553e-08    1.0107966e-06    1.1513408e-09    8.417032e-09
26_2    1.3839435e-09    6.2872905e-06    9.7571636e-08    9.1406906e-07    9.2717717e-10    7.6404225e-09
27_2    1.8952035e-09    5.8705455e-06    7.413599e-08    8.397121e-07    1.0529346e-09    7.976474e-09
28_2    1.7006305e-09    6.091118e-06    1.3594617e-07    9.671179e-07    8.798158e-10    8.487877e-09
29_2    1.5894693e-09    6.186209e-06    1.2162346e-07    8.425786e-07    9.245365e-10    8.475362e-09
30_2    1.6463679e-09    6.012882e-06    1.5253178e-07    9.118864e-07    1.1215857e-09    8.707276e-09
31_2    1.348905e-09    6.298355e-06    1.0572958e-07    9.23617e-07    1.2679371e-09    9.05828e-09
32_2    1.2927591e-09    5.785312e-06    9.1144855e-08    8.681475e-07    1.3008853e-09    8.7842915e-09
33_2    1.137472e-09    6.0757006e-06    8.4077094e-08    9.665417e-07    1.3243007e-09    8.224421e-09
