X_Y  COJ4-3  COJ5-4  COJ6-5  COJ7-6  COJ8-7  COJ9-8  COJ10-9  COJ11-10  COJ12-11  COJ13-12  13COJ5-4  13COJ6-5  13COJ7-6  13COJ8-7  13COJ9-8  13COJ10-9  13COJ11-10  13COJ12-11  13COJ13-12  CI609  CI370
12_18  2.7253e-09  3.2140e-09  1.4695e-09  5.9659e-10  3.8648e-09  3.6614e-09  1.2394e-08  5.3524e-09  2.7927e-09  inf  1.2819e-09  1.8756e-09  1.6077e-09  3.2228e-09  inf  1.4841e-09  inf  1.3615e+07  3.6624e-09  2.4037e-09  9.3225e-10
13_11  5.0466e-09  2.2790e-09  1.9150e-09  2.0839e-09  2.1091e-09  4.0441e-09  4.4111e-09  3.0058e-09  5.0000e-09  6.5143e-09  2.6630e-09  1.6558e-09  1.1958e-09  4.3437e-09  3.4140e-09  2.0197e-09  3.0968e-09  2.6696e-09  2.2998e-08  2.8705e-09  2.4172e-09
13_12  2.9372e-09  3.0433e-09  1.4772e-09  1.5603e-09  4.5378e-09  2.1698e-09  2.2344e-09  1.5984e-09  3.2953e-09  3.5602e-09  2.1504e-09  2.0090e-09  3.0776e-09  7.1437e-09  inf  2.7554e-09  2.7396e-09  3.8009e-09  inf  1.9957e-09  1.3303e-09
13_13  2.2695e-09  2.8138e-09  1.3258e-09  1.1685e-09  2.6350e-09  2.9973e-09  4.3763e-09  3.2799e-09  3.3564e-09  1.0977e-08  2.0264e-09  1.8731e-09  1.5288e-09  5.4664e-09  2.7793e-09  2.6375e-09  2.0496e-09  2.8046e-09  8.3323e-09  3.5858e-09  1.1407e-09
13_14  1.9368e-09  1.8776e-09  1.2418e-09  1.2447e-09  2.1336e-09  3.0590e-09  4.7620e-09  6.1985e-09  3.3164e-09  6.3527e-09  2.5916e-09  1.3267e-09  2.1133e-09  4.7286e-09  inf  2.5695e-09  5.7523e-09  2.5797e-09   inf  3.8558e-09  1.1307e-09
13_15  1.6416e-09  3.4478e-09  1.1564e-09  1.3071e-09  2.7906e-09  6.0832e-09  3.9979e-09  8.8710e-09  5.7727e-09  inf  3.0150e-09  1.1310e-09  1.4069e-09  3.6786e-09  7.8967e+06  1.3070e-09  inf  5.1501e-09  8.3077e-09  1.9158e-09  1.4633e-09
13_16  2.4006e-09  1.8822e-09  1.3047e-09  9.0673e-10  3.3701e-09  5.1807e-09  6.7167e-09  3.1419e-09  3.5638e-09  3.3170e-07  1.5101e-09  3.2836e-09  1.0372e-09  2.8916e-09  3.6026e-09  3.1820e-09  7.6392e-09  3.1503e-09  inf  1.6448e-09  7.5563e-10
13_17  3.0496e-09  1.9570e-09  1.7626e-09  9.6880e-10  2.1957e-09  6.0780e-09  4.2753e-09  3.8033e-08  4.3043e-09  2.8307e-09  2.1229e-09  1.1724e-09  1.6315e-09  2.7699e-09  2.3388e+06  inf  2.1978e-09  2.7347e-09  inf  2.2953e-09  1.0005e-09
13_18  5.3884e-09  3.1884e-09  1.3532e-09  6.9729e-10  4.4422e-09  4.0940e-09  6.8638e-09  4.0371e-09  3.2118e-09  inf  1.9116e-09  1.4405e-09  1.0989e-09  3.3883e-09  inf  1.7246e-09  inf  2.3299e-09  4.2356e-09  3.0930e-09  9.0796e-10
14_10  6.5862e-09  3.2668e-09  2.0845e-09  1.7547e-09  4.8033e-09  3.9360e-09  4.7555e-09  5.9705e-09  4.2197e-09  1.1328e-08  2.8270e-09  3.7856e-09  1.9924e-09  4.2288e-09  7.4257e-09  2.9615e-09  2.8741e-09  inf  inf  2.6949e-09  1.4362e-09
14_11  3.1742e-09  3.8623e-09  2.0761e-09  2.0497e-09  4.7420e-09  3.7571e-09  3.8251e-09  6.9733e-09  3.5253e-09  1.4416e-08  3.5097e-09  3.3462e-09  1.9586e-09  4.3244e-09  6.0710e-09  4.4646e-09  3.2520e-09  3.7870e-09  2.5250e-09  2.5166e-09  1.6308e-09
14_12  2.3713e-09  2.5579e-09  1.6833e-09  1.9864e-09  2.2630e-09  3.4456e-09  3.7623e-09  4.2085e-09  3.1313e-09  3.9854e-09  2.3693e-09  1.2031e-09  1.7311e-09  3.9194e-09  inf  3.3024e-09  6.6973e-09  2.6258e-09  inf  2.0039e-09  1.6579e-09
14_13  4.0946e-09  2.5516e-09  1.6281e-09  1.5470e-09  3.0708e-09  3.4119e-09  3.9094e-09  3.8992e-09  3.7827e-09  4.4121e-09  1.8679e-09  1.2902e-09  1.3915e-09  3.8882e-09  2.8739e-09  5.0869e-09  inf  7.9994e-09  2.5894e-09  1.7513e-09  1.4384e-09
14_14  2.1714e-09  2.1406e-09  1.1354e-09  1.0096e-09  1.4211e-09  1.6504e-09  2.6997e-09  2.1797e-09  5.9829e-09  inf  1.5572e-09  1.3613e-09  1.2663e-09  3.5437e-09  inf  4.5577e-09  inf  6.0770e-09  4.5770e-09  1.8203e-09  2.2673e-09
14_15  1.7230e-09  2.9435e-09  1.6406e-09  1.7902e-09  1.7171e-09  1.3200e-09  3.4323e-09  2.9917e-09  4.0853e-09  4.7857e-09  1.5623e-09  1.2608e-09  1.3206e-09  3.1458e-09  5.4419e-09  inf  1.7195e-09  1.0284e+07  3.5360e-09  1.5893e-09  1.8969e-09
14_16  2.8030e-09  2.6883e-09  1.9173e-09  1.0791e-09  2.5869e-09  3.3846e-09  5.8370e-09  1.3192e-08  2.7959e-09  7.9647e-09  2.0183e-09  1.6972e-09  1.4269e-09  3.4430e-09  1.3011e-09  2.4677e-09  1.2932e-09  3.4548e-09  2.0288e-09  1.2411e-09  1.0150e-09
14_17  3.8376e-09  3.3550e-09  1.3192e-09  1.3605e-09  4.0863e-09  3.7987e-09  4.1685e-09  3.6735e-09  2.2884e-09  4.8166e-09  5.7586e-09  2.8935e-09  inf  4.0671e-09  inf  3.0275e-09  inf  3.3455e-09  2.6720e-09  3.4879e-09  1.1508e-09
14_18  2.5214e-09  2.1146e-09  2.0686e-09  1.9779e-09  2.5480e-09  4.1917e-09  6.0849e-09  3.1357e-09  5.5120e-09  4.7324e-09  1.5673e-09  1.7374e-09  1.2792e-09  2.8005e-09  inf  inf  inf  3.1446e-09  inf  2.4723e-09  1.8423e-09
14_19  3.1269e-09  3.5192e-09  1.6192e-09  1.7207e-09  2.2714e-09  6.6629e-09  1.2932e-08  3.4827e-09  6.4925e-09  5.1597e-09  1.7694e-09  1.3381e-09  7.7314e-10  2.5488e-09  inf  1.0614e-09  inf  inf  inf  1.7058e-09  1.6595e-09
15_11  2.4005e-09  3.9616e-09  1.7492e-09  1.6791e-09  3.6955e-09  6.5407e-09  5.2706e-09  1.7229e-08  4.1710e-09  7.4622e-09  3.0882e-09  1.9257e-09  1.2204e-09  3.9847e-09  7.0185e-09  4.5131e-09  3.8010e-09  3.7311e-09  4.2241e-09  2.7537e-09  1.7002e-09
15_12  2.3016e-09  3.9417e-09  2.4209e-09  1.5906e-09  4.1495e-09  7.8065e-09  8.5134e-09  9.9898e-09  4.6540e-09  5.8810e-09  3.8322e-09  1.3780e-09  1.7883e-09  3.1309e-09  6.5303e-09  2.7170e-09  inf  5.4814e-09  inf  2.5228e-09  1.4499e-09
15_13  4.9881e-09  2.9578e-09  1.5007e-09  9.0269e-10  2.5058e-09  7.3886e-09  5.9741e-09  9.6109e-09  5.3247e-09  inf  1.8694e-09  1.3369e-09  1.9911e-09  3.5709e-09  3.3097e-09  3.1006e-09  2.6390e-09  inf  7.2353e-09  3.6317e-09  1.1194e-09
15_14  2.2812e-09  2.3576e-09  1.1930e-09  1.3967e-09  3.4731e-09  2.7917e-09  2.5820e-09  3.1590e-09  3.5542e-09  6.3878e-09  2.0588e-09  1.1257e-09  9.9815e-10  3.7590e-09  3.4250e-09  1.4681e-09  1.1429e-09  1.9211e-09  5.2639e-09  2.2973e-09  1.8423e-09
15_15  1.5295e-09  2.1110e-09  1.0137e-09  1.5010e-09  2.3425e-09  2.5811e-09  3.6578e-09  3.1509e-09  2.9184e-09  4.6652e-09  2.2693e-09  1.0178e-09  1.1245e-09  3.8914e-09  inf  inf  inf  1.8511e-09  6.5034e-09  1.4341e-09  1.3521e-09
15_16  2.5995e-09  1.8068e-09  9.0951e-10  1.5189e-09  2.7028e-09  3.1749e-09  3.8023e-09  5.3465e-09  4.1367e-09  6.9445e-09  1.9291e-09  1.4183e-09  1.1929e-09  5.0284e-09  inf  2.5916e-09  inf  2.3189e-09  5.3192e-09  1.2434e-09  1.3769e-09
15_17  2.1738e-09  2.8193e-09  1.4501e-09  1.4727e-09  3.6538e-09  4.9131e-09  4.9118e-09  4.5061e-09  2.6491e-09  5.4816e-09  5.4448e-09  2.8542e-09  inf  4.4301e-09  inf  inf  4.6671e+06  5.3401e-09  inf  2.3398e-09  1.3139e-09
15_18  3.5507e-09  1.0990e-09  1.6356e-09  1.1181e-09  1.9877e-09  3.4853e-09  1.0948e-08  8.6375e-09  5.5782e-09  5.2251e-09  1.3736e-09  1.5880e-09  1.2639e-09  3.0056e-09  1.8228e-09  inf  3.2512e-09  2.7391e-09  2.8621e-09  1.7429e-09  1.0677e-09
15_19  3.5896e-09  3.1543e-09  1.8452e-09  1.1466e-09  2.8544e-09  6.4207e-09  1.8248e-08  8.0008e-09  9.6039e-09  8.0101e-09  2.2295e-09  2.0818e-09  2.7663e-09  2.8749e-09  2.9536e-09  3.1858e-09  7.0746e-09  5.0630e-09  inf  1.9937e-09  9.3649e-10
15_20  2.1858e-09  2.6305e-09  1.7068e-09  2.2747e-09  3.7800e-09  3.6134e-09  3.8054e-09  3.3291e-09  5.2695e-09  1.0439e-08  2.4508e-09  2.1197e-09  2.0618e-09  2.8917e-09  5.1873e-09  1.8744e-09  1.5301e-08  2.7295e-09  inf  2.3275e-09  2.0804e-09
16_12  3.3245e-09  2.3417e-09  2.0535e-09  1.4067e-09  3.7376e-09  5.9149e-09  3.3422e-09  6.8889e-09  6.7991e-09  inf  1.9162e-09  2.0199e-09  inf  3.8390e-09  5.3565e-09  2.8479e-09  inf  4.1053e-09  4.4044e-09  1.7686e-09  1.1712e-09
16_13  2.9494e-09  3.0099e-09  2.6469e-09  1.7854e-09  4.1334e-09  6.0411e-09  5.9568e-09  7.0674e-09  4.2606e-09  inf  3.4222e-09  1.3688e-09  1.0430e-09  3.5332e-09  3.8647e-09  2.0803e-09  inf  inf  5.1018e-09  1.3076e-09  1.4691e-09
16_14  1.7219e-09  1.5893e-09  1.5406e-09  2.0969e-09  2.6058e-09  4.4402e-09  4.8609e-09  4.3069e-09  4.1409e-09  9.6265e-09  2.5021e-09  2.6300e-09  1.0082e-09  4.1514e-09  3.4763e-09  2.4711e-09  inf  3.7575e-09  5.4254e-09  1.6065e-09  1.8878e-09
16_15  2.9647e-09  1.2766e-09  1.5646e-09  1.8722e-09  2.8183e-09  4.0144e-09  2.6599e-09  4.3898e-09  3.0787e-09  6.6671e-09  2.7350e-09  2.0197e-09  1.3846e-09  3.4949e-09  7.8215e-09  inf  inf  3.1399e-09  4.4260e-09  1.2297e-09  1.8406e-09
16_16  2.5725e-09  2.9849e-09  2.2222e-09  1.9022e-09  3.8365e-09  3.6209e-09  2.8348e-09  2.5857e-09  4.7096e-09  1.0734e-08  2.8253e-09  1.5495e-09  2.2397e-09  6.5706e-09  inf  1.8896e-09  1.3649e-09  3.0376e-09  3.4140e-09  4.1073e-09  1.8323e-09
16_17  1.7011e-09  1.8683e-09  2.0034e-09  1.4343e-09  3.1623e-09  3.7074e-09  4.7969e-09  3.3190e-09  7.4944e-09  1.1706e-08  1.5553e-09  1.4438e-09  1.4055e-09  3.9618e-09  inf  1.7523e-09  1.1120e-08  2.7951e-09  inf  1.7638e-09  1.3207e-09
16_18  3.1502e-09  1.3867e-09  1.2165e-09  1.2410e-09  2.2448e-09  4.2281e-09  7.0093e-09  4.3718e-09  6.4522e-09  1.9141e-08  1.5557e-09  1.3561e-09  1.5636e-09  4.0924e-09  inf  1.5903e-09  4.6962e-09  6.3826e-09  inf  1.4826e-09  1.2143e-09
16_19  2.8259e-09  2.1495e-09  1.7081e-09  1.5470e-09  3.2696e-09  5.3463e-09  6.9969e-09  6.7480e-09  1.0644e-08  inf  3.0765e-09  2.0372e-09  1.5851e-09  3.9521e-09  3.3377e-08  inf  5.8489e-09  inf  inf  2.3743e-09  1.2323e-09
17_14  3.0076e-09  2.3654e-09  1.6814e-09  1.4160e-09  3.7184e-09  4.0662e-09  9.6152e-09  6.0480e-09  6.4318e-09  7.4378e-09  1.4798e-09  2.0434e-09  3.6500e-09  5.9895e-09  6.0498e-09  3.8429e-09  inf  inf  1.3128e-08  1.5478e-09  8.9635e-10
17_15  2.2235e-09  2.2654e-09  1.5518e-09  1.6291e-09  3.8148e-09  4.1082e-09  3.9688e-09  6.1719e-09  1.2208e-08  6.7148e-09  1.7666e-09  2.0090e-09  3.7392e-09  6.3905e-09  6.8393e-09  2.8845e-09  inf  7.0588e-09  4.1415e-09  1.1356e-09  1.1918e-09
17_16   2.5874e-09  2.3066e-09  1.2977e-09  1.1816e-09  3.5011e-09  3.4242e-09  3.8016e-09  4.8188e-09  8.1919e-09  1.7638e-08  1.9697e-09  1.5489e-09  1.5924e-09  4.9890e-09  3.6886e-09  inf  inf  5.2140e-09  3.2785e-09  1.9861e-09  1.2782e-09
17_17  2.1940e-09  2.3380e-09  1.9979e-09  2.4010e-09  4.2970e-09  5.4439e-09  5.3482e-09  1.1160e-08  5.0860e-09  1.2508e-08  1.8352e-09  1.8712e-09  1.6301e-09  6.2356e-09  inf  4.6332e-09  7.9391e-09  2.3684e-09  inf  2.1318e-09  2.3564e-09
17_18  3.4384e-09  2.6650e-09  2.4772e-09  2.2159e-09  5.6464e-09  5.5296e-09  7.0232e-09  8.6765e-09  9.6752e-09  9.7185e-09  2.9522e-09  2.8627e-09  2.6265e-09  7.2548e-09  8.4299e-09  5.3500e-09  3.0152e-09  2.7506e-09  inf  2.4243e-09  2.4861e-09
17_19  1.8741e-09  1.9145e-09  1.2058e-09  1.7688e-09  4.5197e-09  7.8018e-09  8.1867e-09  1.0722e-08  1.0657e-08  1.6411e-08  2.6328e-09  1.8965e-09  1.8985e-09  5.1281e-09  5.0905e-09  5.0828e-09  6.5774e-09  3.9686e-09  2.7855e-08  1.5725e-09  1.6774e-09
17_20  2.6823e-09  3.3217e-09  3.6532e-09  4.2995e-09  9.1773e-09  8.0867e-09  7.7318e-09  1.2984e-08  9.1570e-09  2.0190e-08  3.7158e-09  3.9195e-09  3.3342e-09  8.9635e-09  1.7861e-08  6.7503e-09  5.2759e-09  7.2362e-09  5.1753e-09  1.8943e-09  3.0012e-09
17_21  3.0199e-09  2.9752e-09  4.4949e-09  2.6298e-09  7.3967e-09  9.7556e-09  8.6633e-09  1.4533e-08  1.4792e-08  1.8436e-08  2.2493e-09  4.1217e-09  3.1708e-09  8.1459e-09  1.1824e-08  1.8250e-08  9.7749e-09  7.0784e-09  6.5538e-09  1.5549e-09  2.4530e-09
17_22  2.0416e-09  4.2176e-09  4.2072e-09  3.2310e-09  1.1905e-08  9.7682e-09  8.1061e-09  1.3190e-08  1.2534e-08  3.1425e-08  2.8914e-09  5.0934e-09  5.2301e-09  1.1928e-08  1.7718e-08  7.4888e-09  8.7512e-09  9.1175e-09  inf  3.7333e-09  2.7260e-09
18_13  7.5696e-09  4.1265e-09  2.3887e-09  1.2527e-09  4.3703e-09  7.7179e-09  1.2710e-08  8.2377e-09  9.7270e-09  2.0090e-08  2.3033e-09  2.9796e-09  1.9088e-09  3.6603e-09  4.9840e-09  4.4456e-09  5.2548e-09  2.3029e-09  6.1846e-09  3.6047e-09  1.2392e-09
18_14  4.6052e-09  3.5217e-09  2.0751e-09  1.3847e-09  4.1970e-09  7.3256e-09  7.6287e-09  1.9996e-08  9.1192e-09  2.0107e-08  2.0459e-09  3.3503e-09  2.1641e-09  4.2487e-09  5.8442e-09  5.0247e-09  3.3950e-09  5.3380e-09  4.6091e-09  1.9514e-09  1.3041e-09
18_15  1.7617e-09  2.8899e-09  2.2232e-09  1.2382e-09  5.3833e-09  4.7147e-09  8.3336e-09  9.2318e-09  1.6661e-08  2.7917e-08  2.0699e-09  2.1971e-09  2.0478e-09  4.7987e-09  6.1093e-09  4.2309e-09  5.2438e-09  inf  8.4258e-09  1.2045e-09  1.3519e-09
18_16  2.2040e-09  3.1402e-09  2.5926e-09  1.7367e-09  4.3690e-09  6.4919e-09  6.9545e-09  1.0825e-08  8.9675e-09  1.5668e-08  2.8972e-09  2.5673e-09  3.4128e-09  5.1701e-09  4.7408e-09  6.7217e-09  4.9096e-09  1.6163e-08  inf  2.1213e-09  2.4240e-09
18_17  3.3178e-09  2.6264e-09  3.0636e-09  5.5192e-09  4.3526e-09  9.1854e-09  9.5707e-09  1.2924e-08  8.1022e-09  1.5070e-08  1.9677e-09  2.0037e-09  2.3536e-09  8.2756e-09  9.0485e-09  7.7490e-09  6.3400e-09  6.4988e-09  inf  2.2238e-09  4.9952e-09
18_18  2.6619e-09  4.4363e-09  2.3771e-09  2.5710e-09  5.6100e-09  9.0186e-09  1.2594e-08  1.3417e-08  1.3835e-08  1.5850e-08  2.2794e-09  3.2322e-09  4.3817e-09  9.5676e-09  1.5323e-08  6.2424e-09  4.2447e-09  6.1758e-09  2.3119e-08  1.5520e-09  2.4408e-09
18_19  2.5867e-09  3.7046e-09  3.4027e-09  5.7895e-09  8.1326e-09  6.5341e-09  9.4015e-09  1.2115e-08  1.0244e-08  1.9069e-08  5.4088e-09  3.6737e-09  4.7140e-09  1.0402e-08  1.0897e-08  6.5485e-09  3.8972e-09  6.4455e-09  7.0317e-09  3.3283e-09  4.7030e-09
18_20  3.8730e-09  4.9643e-09  7.0881e-09  6.7024e-09  1.5955e-08  5.8171e-09  1.0428e-08  1.1647e-08  7.1344e-09  1.6777e-08  4.1279e-09  6.5289e-09  8.7469e-09  1.8679e-08  2.4590e-08  5.5123e-09  8.8513e-09  5.1849e-09  5.4754e-09  2.7576e-09  5.2362e-09
18_21  4.7052e-09  4.2946e-09  4.3521e-09  3.5739e-09  1.0377e-08  8.3166e-09  6.9488e-09  8.0807e-09  7.1950e-09  1.6572e-08  3.1592e-09  4.0325e-09  5.1235e-09  9.7284e-09  1.7388e-08  4.1678e-09  7.6246e-09  8.1702e-09  inf  2.8101e-09  3.7270e-09
18_22  4.7224e-09  3.8065e-09  4.4380e-09  3.1144e-09  8.9362e-09  5.5967e-09  7.0835e-09  7.2507e-09  8.1441e-09  1.3589e-08  4.3428e-09  4.1971e-09  4.5192e-09  1.0003e-08  1.7016e-08  6.7069e-09  5.6550e-09  1.2470e-08  6.2821e-09  2.6276e-09  3.6297e-09
19_14  2.8606e-09  3.7332e-09  2.7701e-09  2.0336e-09  5.6367e-09  8.8894e-09  6.6139e-09  1.3786e-08  9.3389e-09  1.7078e-08  5.0864e-09  2.1823e-09  2.3209e-09  5.7870e-09  5.1220e-09  6.2024e-09  2.9086e-09  inf  inf  2.1334e-09  1.9240e-09
19_15  2.8864e-09  2.5713e-09  2.6412e-09  2.6799e-09  3.3227e-09  6.4340e-09  1.0710e-08  1.0856e-08  1.2210e-08  2.2163e-08  2.4164e-09  1.8518e-09  1.9062e-09  3.6741e-09  4.1223e-09  6.1225e-09  2.9821e-09  3.0299e-08  6.5521e-09  2.4503e-09  2.7301e-09
19_16  2.5432e-09  3.8908e-09  4.1243e-09  4.1315e-09  7.9412e-09  4.6446e-09  8.9608e-09  8.1375e-09  7.2048e-09  1.6616e-08  2.3765e-09  2.7814e-09  2.8463e-09  5.7579e-09  4.9112e-09  4.6576e-09  8.6772e-09  6.5040e-09  8.9629e-09  2.2057e-09  3.8538e-09
19_17  1.7001e-09  5.1462e-09  2.7257e-09  2.9465e-09  5.5609e-09  5.4301e-09  8.5356e-09  9.8623e-09  9.2393e-09  1.5743e-08  2.8948e-09  2.8804e-09  3.7347e-09  1.0862e-08  1.9258e-08  5.7714e-09  8.7805e-09  3.9300e-09  6.1077e-09  2.8254e-09  2.8039e-09
19_18  2.5192e-09  4.1520e-09  4.1540e-09  3.9531e-09  1.0098e-08  6.1999e-09  1.3684e-08  9.5049e-09  7.2446e-09  1.9318e-08  4.2419e-09  3.0189e-09  4.1252e-09  1.1088e-08  1.2590e-08  8.1029e-09  2.0666e-08  6.0362e-09  1.8986e-08  2.6285e-09  5.4607e-09
19_19  3.1957e-09  5.0646e-09  4.2220e-09  3.6742e-09  8.7597e-09  8.6097e-09  1.2404e-08  1.6172e-08  1.3514e-08  2.2717e-08  3.5876e-09  4.7140e-09  5.0053e-09  1.3029e-08  1.9390e-08  7.7776e-09  7.1755e-09  3.6397e-09  9.7930e-09  1.7590e-09  3.9360e-09
19_20  4.4349e-09  2.9676e-09  4.7057e-09  3.5865e-09  8.4868e-09  6.5353e-09  9.6358e-09  1.2335e-08  8.4886e-09  1.2028e-08  4.0363e-09  4.4640e-09  4.6851e-09  1.3204e-08  1.7233e-08  6.5165e-09  4.4566e-09  9.0386e-09  7.9491e-09  1.9234e-09  5.0579e-09
19_21  3.3364e-09  4.3649e-09  6.3004e-09  6.4586e-09  1.3421e-08  4.1799e-09  6.8091e-09  9.0046e-09  9.0894e-09  1.3481e-08  4.5814e-09  5.9165e-09  5.6461e-09  1.4378e-08  1.8831e-08  4.0646e-09  5.3337e-09  1.0659e-08  4.8871e-08  2.2711e-09  7.3396e-09
19_22  3.7148e-09  3.1918e-09  4.1594e-09  3.5159e-09  8.8138e-09  6.2885e-09  6.5615e-09  7.0185e-09  7.0592e-09  1.1671e-08  4.7234e-09  4.3946e-09  4.6938e-09  1.1661e-08  1.7897e-08  4.8793e-09  4.5217e-09  7.9266e-09  1.2396e-08  3.6790e-09  5.2724e-09
20_16  4.3775e-09  4.5737e-09  5.3976e-09  6.9891e-09  9.3453e-09  1.2126e-08  1.5607e-08  1.2631e-08  1.1900e-08  1.5569e-08  3.4571e-09  4.1296e-09  4.3159e-09  6.3722e-09  1.2244e-08  6.1641e-09  6.0388e-09  4.6441e-09  1.1350e-08  2.0705e-09  6.5312e-09
20_17  2.7300e-09  4.7444e-09  6.9154e-09  9.6581e-09  1.7096e-08  6.1257e-09  1.1263e-08  8.6078e-09  6.9126e-09  1.2823e-08  3.4535e-09  6.4115e-09  4.7924e-09  8.8298e-09  1.2832e-08  5.6339e-09  6.4419e-09  5.7208e-09  1.0272e-08  2.7463e-09  9.7588e-09
20_18  6.5821e-09  7.9413e-09  8.6225e-09  5.4947e-09  1.2964e-08  8.5806e-09  1.2811e-08  1.3519e-08  1.1814e-08  1.3429e-08  3.8263e-09  7.0883e-09  6.4393e-09  8.5600e-09  1.0343e-08  6.4360e-09  7.2869e-09  2.5017e-08  1.2258e-08  3.3847e-09  8.9248e-09
20_19  3.9854e-09  5.0016e-09  6.1740e-09  5.4041e-09  1.7745e-08  8.2713e-09  6.6413e-09  7.1062e-09  1.0746e-08  1.1626e-08  4.4121e-09  8.1930e-09  6.1964e-09  1.4333e-08  1.1811e-08  5.8625e-09  8.1638e-09  6.5670e-09  1.4192e-08  2.6112e-09  7.8403e-09
20_20  3.3206e-09  8.4651e-09  5.5714e-09  5.8655e-09  1.2926e-08  5.7987e-09  1.1884e-08  8.2830e-09  1.1075e-08  2.6149e-08  3.6222e-09  7.3123e-09  6.9987e-09  2.1607e-08  3.2279e-08  8.7994e-09  1.8986e-08  1.0866e-08  9.5429e-09  3.0606e-09  5.8812e-09
20_21  4.6617e-09  5.1493e-09  8.3777e-09  1.0576e-08  2.0867e-08  6.3855e-09  7.6393e-09  7.6839e-09  1.0590e-08  1.3628e-08  5.0985e-09  6.9693e-09  6.1380e-09  1.5804e-08  2.0824e-08  6.1621e-09  5.7771e-09  6.8681e-09  6.1962e-09  3.9417e-09  1.0675e-08
20_22  3.8896e-09  1.0728e-08  4.7405e-09  6.1832e-09  1.7190e-08  9.3248e-09  1.5252e-08  1.6389e-08  1.5651e-08  2.2390e-08  5.5998e-09  4.7934e-09  7.8846e-09  1.9740e-08  3.2992e-08  8.2423e-09  1.1086e-08  4.9159e-09  1.5215e-08  4.0967e-09  4.8766e-09
20_23  9.8621e-09  4.9908e-09  4.3878e-09  4.6362e-09  1.6296e-08  1.2726e-08  1.5089e-08  2.3107e-08  1.4942e-08  2.9081e-08  4.6455e-09  5.5076e-09  4.9416e-09  1.2873e-08  2.5320e-08  1.2167e-08  1.7427e-08  9.5330e-09  inf  4.5706e-09  5.0205e-09
21_16  3.2890e-09  8.5613e-09  7.2445e-09  4.8943e-09  1.2507e-08  1.2115e-08  1.1873e-08  1.2702e-08  1.4320e-08  1.1530e-08  4.7328e-09  5.9681e-09  5.7516e-09  9.2652e-09  1.1130e-08  6.1243e-09  4.1954e-09  5.5875e-09  3.6168e-08  1.7569e-09  7.7597e-09
21_17  4.2441e-09  7.5110e-09  8.9632e-09  6.0426e-09  1.7703e-08  1.0537e-08  1.3609e-08  1.1156e-08  7.9010e-09  1.3888e-08  3.8641e-09  8.7195e-09  6.0564e-09  8.8392e-09  1.1590e-08  4.6879e-09  5.3381e-09  5.8845e-09  1.0527e-08  4.3829e-09  9.3668e-09
21_18  7.3951e-09  1.0165e-08  9.0291e-09  5.9970e-09  1.1846e-08  1.3489e-08  1.4951e-08  1.2294e-08  1.1269e-08  1.1208e-08  4.4149e-09  7.0808e-09  6.4742e-09  1.0545e-08  1.4753e-08  9.2309e-09  5.9813e-09  1.3885e-08  1.0775e-08  4.0772e-09  1.0589e-08
21_19  3.1624e-09  6.9002e-09  7.7449e-09  7.8034e-09  1.6980e-08  7.9710e-09  1.3513e-08  1.2030e-08  7.1920e-09  2.0860e-08  4.4773e-09  7.6328e-09  6.2145e-09  2.2600e-08  2.8022e-08  9.4732e-09  8.0502e-09  8.8888e-09  1.2069e-08  1.8324e-09  9.8754e-09
21_20  3.1405e-09  5.8564e-09  7.4613e-09  9.3274e-09  1.5537e-08  7.7416e-09  1.4142e-08  8.9056e-09  1.2821e-08  2.2232e-08  5.8396e-09  6.7680e-09  5.8177e-09  1.9980e-08  2.6783e-08  7.4625e-09  1.3071e-08  1.1377e-08  1.1716e-08  2.8868e-09  8.5348e-09
21_21  4.2559e-09  7.3787e-09  8.2338e-09  9.5090e-09  1.5520e-08  7.4813e-09  1.0789e-08  1.2450e-08  1.4409e-08  2.2767e-08  4.7334e-09  6.0694e-09  6.0485e-09  2.2189e-08  3.4105e-08  9.7586e-09  7.7943e-09  9.5169e-09  2.3249e-08  2.7204e-09  9.1083e-09
21_22  1.2052e-08  5.9750e-09  5.9538e-09  5.2119e-09  1.3476e-08  1.1336e-08  1.5133e-08  1.5094e-08  1.4008e-08  1.9146e-08  6.4496e-09  5.1289e-09  6.0751e-09  1.5088e-08  3.0415e-08  7.3113e-09  4.8590e-09  1.0646e-08  1.7878e-08  4.4220e-09  5.4156e-09
21_23  6.7852e-09  5.4921e-09  6.1197e-09  5.2571e-09  1.3458e-08  9.5043e-09  7.6260e-09  7.1730e-09  7.8818e-09  1.4063e-08  7.0124e-09  5.5625e-09  7.2230e-09  1.3327e-08  3.3325e-08  4.6395e-09  6.1950e-09  5.9625e-09  7.9319e-09  3.7613e-09  5.9013e-09
22_19  3.7259e-09  5.7067e-09  7.2037e-09  6.1582e-09  1.1825e-08  6.5477e-09  1.2981e-08  1.2055e-08  6.7740e-09  3.8892e-08  3.2020e-09  7.0766e-09  5.9313e-09  1.7930e-08  2.3553e-08  9.5172e-09  1.3622e-08  1.7395e-08  8.4225e-09  1.7788e-09  8.6833e-09
