X_Y  COJ4-3  COJ5-4  COJ6-5  COJ7-6  COJ8-7  COJ9-8  COJ10-9  COJ11-10  COJ12-11  COJ13-12  13COJ5-4  13COJ6-5  13COJ7-6  13COJ8-7  13COJ9-8  13COJ10-9  13COJ11-10  13COJ12-11  13COJ13-12  CI609  CI370
5_11  2.2211e-09  2.3621e-09  1.4838e-09  1.2238e-09  1.7961e-09  2.4864e-09  3.8505e-09  4.2618e-09  3.9296e-09  3.0770e-08  2.6795e-09  1.4629e-09  1.1961e-09  2.6379e-09  2.4601e-09  4.0789e-09  2.1974e-09  5.0569e-09  inf  2.3509e-09  1.0070e-09
5_12  2.4896e-09  4.2203e-09  2.3016e-09  1.4281e-09  3.8734e-09  3.0313e-09  8.5613e-09  3.7506e-09  4.9163e-09  5.9158e-09  2.6746e-09  1.8904e-09  1.8664e-09  3.1337e-09  inf  2.8928e-09  inf  3.5455e-09  7.5523e-09  3.0135e-09  1.9539e-09
6_5  1.9207e-09  3.0862e-09  3.2012e-09  3.5124e-09  3.6996e-09  1.4797e-08  2.1761e-08  inf  1.0944e-08  7.7263e-09  3.1815e-09  2.0449e-09  1.6700e-09  3.1246e-09  3.4575e-09  inf  3.7865e-09  inf  inf  2.6884e-09  2.6208e-09
6_6  3.0316e-09  1.6995e-09  3.0110e-09  2.3791e-09  4.7924e-09  6.0455e-09  9.3613e-09  1.1231e-08  5.2084e-09  9.7201e-09  1.9027e-09  2.1069e-09  1.1431e-09  3.2515e-09  2.8892e-09  1.7800e-09  3.6962e-09  2.9776e-09  4.9349e-09  3.0106e-09  2.6313e-09
6_7  4.0452e-09  1.5402e-09  1.2767e-09  1.1012e-09  2.2027e-09  2.5501e-09  3.3898e-09  3.5696e-09  3.0020e-09  8.4883e-09  2.4617e-09  1.2214e-09  1.3553e-09  2.1401e-09  4.0587e-09  1.8024e-09  2.6800e-09  2.6379e-09  2.7859e-09  1.9583e-09  9.1493e-10
6_8  3.2130e-09  1.6178e-09  1.1003e-09  6.9870e-10  2.0821e-09  3.4217e-09  3.7044e-09  4.5150e-09  5.4511e-09  1.5024e-08  1.8041e-09  1.0983e-09  1.2628e-09  1.8402e-09  3.7962e-09  3.7091e-09  3.0393e-09  4.8448e-09  inf  1.7968e-09  8.8245e-10
6_9  1.6475e-09  2.5293e-09  2.3906e-09  1.2105e-09  4.2264e-09  8.0884e-09  1.4963e-08  inf  5.5808e-09  2.4374e-08  3.3722e-09  2.3334e-09  2.3914e-09  3.4612e-09  inf  5.2494e-09  inf  1.1133e-08  7.5548e-09  1.6687e-09  1.2266e-09
6_10  1.7553e-09  2.4070e-09  2.4570e-09  1.3595e-09  2.8749e-09  6.2046e-09  7.4679e-09  6.6392e-09  8.7948e-09  1.7278e-08  6.3777e-09  1.4926e-09  1.1330e-09  2.8166e-09  inf  inf  inf  2.8840e-09  6.6266e-09  2.1734e-09  1.1496e-09
6_11  2.9803e-09  1.2838e-09  1.1217e-09  1.0760e-09  1.3703e-09  3.1320e-09  3.6624e-09  4.6204e-09  3.0693e-09  5.1929e-09  7.3558e-10  2.7393e-09  1.2050e-09  2.6430e-09  inf  9.3638e-10  1.7405e-09  2.7471e-09  inf  1.3771e-09  1.2028e-09
6_12  3.1723e-09  1.8732e-09  1.5335e-09  1.0365e-09  2.5921e-09  3.4265e-09  4.6588e-09  4.3553e-09  5.3077e-09  6.5136e-09  2.5057e-09  2.5150e-09  1.7000e-09  3.3382e-09  3.0832e+06  2.1758e-09  3.2796e-09  3.7218e-09  inf  1.5403e-09  9.3526e-10
