#=========================================================================================
# Carina intensities
# Date: 30 october 2017
# Unit: W m-2 sr-1
#=========================================================================================
#X_Y    COJ4-3      COJ5-4      COJ6-5       COJ7-6      COJ8-7     COJ9-8      COJ10-9     COJ11-10    COJ12-11    COJ13-12    13COJ5-4    13COJ6-5    13COJ7-6    13COJ8-7    13COJ9-8    13COJ10-9   13COJ11-10  13COJ12-11  13COJ13-12  CI609       CI370       OI145
5_10    3.1585e-09  4.8727e-09  6.2422e-09  6.4633e-09  6.8301e-09  6.4163e-09  5.0512e-09  3.3600e-09  2.1921e-09  1.6797e-09  7.6096e-10  9.7300e-10  8.9252e-10  8.9010e-10  3.0538e-10  7.0550e-10  5.0698e-10  6.8160e-10  6.4518e-10  1.1305e-09  2.3393e-09  0.
5_11    4.0307e-09  4.5984e-09  5.9381e-09  5.8529e-09  5.6579e-09  6.0649e-09  4.3561e-09  3.0331e-09  1.9755e-09  1.3549e-09  6.4097e-10  7.8008e-10  7.5263e-10  8.9317e-10  2.8466e-10  6.9981e-10  5.8245e-10  8.5265e-10  7.6743e-10  1.1944e-09  2.2402e-09  0.
5_12    2.6436e-09  4.2826e-09  5.4456e-09  5.1806e-09  4.9766e-09  5.2136e-09  3.5656e-09  2.8076e-09  2.0347e-09  1.1393e-09  7.8474e-10  6.4320e-10  7.1022e-10  9.6882e-10  4.3314e-10  7.3313e-10  5.9124e-10  9.3710e-10  8.8696e-10  1.1542e-09  2.0064e-09  0.
6_5     9.3880e-10  1.3579e-09  1.7833e-09  1.7130e-09  2.5511e-09  2.2751e-09  1.7661e-09  1.5696e-09  1.5154e-09  1.7285e-09  7.1779e-10  4.6704e-10  2.8682e-10  9.0938e-10  1.0469e-09  5.6462e-10  1.1403e-09  4.8745e-10  7.6159e-10  7.8436e-10  6.1336e-10  0.
6_6     1.6018e-09  2.2485e-09  2.6456e-09  3.0529e-09  3.8389e-09  3.8497e-09  3.1017e-09  2.5778e-09  2.1350e-09  2.0256e-09  6.1822e-10  5.7504e-10  4.7559e-10  9.2396e-10  8.3857e-10  6.3447e-10  8.6328e-10  4.7296e-10  4.7494e-10  9.8188e-10  8.6354e-10  0.
6_7     2.5902e-09  3.0377e-09  3.3873e-09  4.1844e-09  5.2154e-09  5.4359e-09  4.5549e-09  3.6741e-09  2.7168e-09  2.2218e-09  6.1823e-10  6.5412e-10  6.6464e-10  8.9778e-10  5.9145e-10  7.4440e-10  6.6119e-10  5.8303e-10  2.9576e-10  1.0149e-09  1.1043e-09  1.2290e-08
6_8     2.5838e-09  3.0801e-09  3.3345e-09  4.0262e-09  5.1378e-09  5.2117e-09  4.3961e-09  3.3268e-09  2.5578e-09  2.0410e-09  6.0569e-10  6.1902e-10  6.8028e-10  8.2288e-10  3.6876e-10  7.0782e-10  4.8783e-10  7.0247e-10  2.3056e-10  8.7958e-10  1.1010e-09  1.3313e-08
6_9     1.7101e-09  2.8368e-09  3.0612e-09  3.4771e-09  4.0681e-09  3.8027e-09  3.1344e-09  2.0813e-09  1.9055e-09  1.5703e-09  5.0412e-10  5.3753e-10  5.5614e-10  7.3934e-10  1.6501e-10  5.7143e-10  3.8052e-10  7.7772e-10  2.9271e-10  7.8240e-10  1.0867e-09  1.2489e-08
6_10    2.0418e-09  3.0711e-09  3.5437e-09  3.6863e-09  3.6320e-09  3.2113e-09  2.4182e-09  1.4839e-09  1.4671e-09  1.1970e-09  4.2182e-10  5.0598e-10  4.4761e-10  7.3419e-10  5.3993e-11  4.7895e-10  3.8851e-10  8.4882e-10  4.0335e-10  8.6722e-10  1.3687e-09  0.
6_11    3.1467e-09  3.7643e-09  4.5455e-09  4.3573e-09  4.0010e-09  3.6038e-09  2.4898e-09  1.6729e-09  1.5059e-09  1.1275e-09  4.6591e-10  4.9558e-10  4.4616e-10  8.2095e-10  6.7716e-11  5.1209e-10  5.0428e-10  9.2365e-10  5.2224e-10  1.0934e-09  1.6826e-09  0.
