#=========================================================================================
# Carina intensities
# Date: 30 october 2017
# Unit: W m-2 sr-1
#=========================================================================================
#X_Y    COJ4-3      COJ5-4      COJ6-5       COJ7-6      COJ8-7     COJ9-8      COJ10-9     COJ11-10    COJ12-11    COJ13-12    13COJ5-4    13COJ6-5    13COJ7-6    13COJ8-7    13COJ9-8    13COJ10-9   13COJ11-10  13COJ12-11  13COJ13-12  CI609       CI370       OI145
11_13   5.3059e-09  6.8541e-09  8.8970e-09  9.0044e-09  8.3746e-09  6.6886e-09  4.8648e-09  2.7330e-09  1.8861e-09  1.7238e-09  1.1540e-09  9.1522e-10  6.6637e-10  9.7234e-10  6.8529e-10  3.8376e-10  7.3741e-10  8.6049e-10  6.0543e-10  8.9118e-10  3.0016e-09  0.
11_14   3.5539e-09  5.1341e-09  6.1841e-09  5.9221e-09  5.0687e-09  4.1964e-09  3.1523e-09  1.8268e-09  1.4829e-09  1.5217e-09  8.0455e-10  5.9402e-10  4.1038e-10  8.9812e-10  5.6624e-10  3.8700e-10  6.9482e-10  9.7713e-10  7.9202e-10  7.3474e-10  2.2098e-09  0.
11_15   2.8786e-09  3.9777e-09  4.2256e-09  3.8771e-09  3.0958e-09  2.4635e-09  2.0816e-09  1.2943e-09  1.0201e-09  1.2246e-09  7.2090e-10  4.4297e-10  3.0701e-10  8.9535e-10  4.1213e-10  5.0132e-10  6.3895e-10  9.7196e-10  8.4108e-10  7.5377e-10  1.6397e-09  0.
11_16   2.5504e-09  3.1878e-09  3.1242e-09  2.8954e-09  2.3019e-09  1.6907e-09  1.5990e-09  1.0762e-09  7.8274e-10  9.0486e-10  6.5692e-10  3.8133e-10  3.0260e-10  8.9744e-10  2.9812e-10  5.8753e-10  5.4773e-10  9.3041e-10  8.4899e-10  8.0125e-10  1.4313e-09  0.
11_17   1.5634e-09  2.5138e-09  2.4588e-09  2.2047e-09  1.7182e-09  1.3966e-09  1.3438e-09  9.2131e-10  8.4099e-10  5.9100e-10  4.1890e-10  3.5401e-10  2.7656e-10  8.7685e-10  2.1717e-10  5.1557e-10  4.8179e-10  9.5529e-10  8.9754e-10  7.4864e-10  1.4050e-09  0.
12_9    2.5388e-09  4.9102e-09  5.5798e-09  5.3801e-09  5.8845e-09  4.5578e-09  3.4451e-09  1.6724e-09  1.7992e-09  1.5682e-09  9.5688e-10  9.8858e-10  5.7537e-10  9.5948e-10  1.0443e-09  7.0838e-10  3.7589e-10  7.7243e-10  5.8116e-10  1.1243e-09  2.4247e-09  0.
12_10   3.4925e-09  6.3167e-09  8.3733e-09  8.3091e-09  8.8462e-09  6.3089e-09  4.3985e-09  2.1884e-09  1.7195e-09  1.5618e-09  1.1784e-09  1.3098e-09  7.8026e-10  1.0734e-09  1.1779e-09  5.8925e-10  5.2994e-10  8.0374e-10  4.9634e-10  1.0375e-09  3.1788e-09  0.
12_11   5.4572e-09  8.1247e-09  1.1215e-08  1.1517e-08  1.1834e-08  8.5641e-09  5.8891e-09  2.9427e-09  1.8243e-09  1.7041e-09  1.4047e-09  1.4608e-09  9.0976e-10  1.1874e-09  1.0218e-09  6.0504e-10  6.5251e-10  8.0000e-10  3.5422e-10  9.9383e-10  3.9621e-09  0.
12_12   5.8476e-09  8.7367e-09  1.1842e-08  1.2500e-08  1.2227e-08  9.2508e-09  6.3921e-09  3.2309e-09  1.9511e-09  1.8421e-09  1.4633e-09  1.2754e-09  8.4443e-10  1.1467e-09  7.8653e-10  5.6665e-10  7.0217e-10  8.4039e-10  3.7744e-10  1.0946e-09  4.0897e-09  0.
12_13   5.1337e-09  7.4651e-09  9.7246e-09  1.0031e-08  9.2668e-09  7.3811e-09  5.0555e-09  2.6223e-09  1.7878e-09  1.7455e-09  1.1904e-09  9.0171e-10  6.0865e-10  1.0129e-09  5.7033e-10  4.4780e-10  6.6604e-10  9.3752e-10  5.8171e-10  9.9273e-10  3.3437e-09  4.6641e-08
12_14   3.4852e-09  5.6154e-09  6.9891e-09  6.9800e-09  5.8308e-09  4.7158e-09  3.1764e-09  1.7478e-09  1.3516e-09  1.4231e-09  7.8518e-10  6.1471e-10  4.0333e-10  9.7641e-10  5.1799e-10  3.8248e-10  5.7319e-10  9.5819e-10  7.5210e-10  8.4182e-10  2.4295e-09  3.8804e-08
12_15   3.1190e-09  4.5440e-09  5.3039e-09  5.0952e-09  4.1159e-09  2.8698e-09  1.9859e-09  1.2238e-09  9.1558e-10  1.0824e-09  6.3466e-10  4.4788e-10  3.4579e-10  9.4568e-10  3.8623e-10  4.2372e-10  4.9294e-10  8.8180e-10  7.3214e-10  8.8799e-10  1.8675e-09  0.
12_16   2.7641e-09  3.8882e-09  4.2846e-09  4.0167e-09  3.4957e-09  1.9245e-09  1.3973e-09  1.0239e-09  7.5465e-10  8.2350e-10  5.9769e-10  3.4139e-10  3.5768e-10  8.7759e-10  2.3457e-10  4.7099e-10  4.0136e-10  8.1257e-10  6.1866e-10  9.1671e-10  1.6177e-09  0.
12_17   2.4211e-09  3.2137e-09  3.3831e-09  3.1532e-09  2.9458e-09  1.5226e-09  1.1362e-09  9.0544e-10  8.9564e-10  6.3601e-10  5.0753e-10  3.3939e-10  3.4402e-10  8.0838e-10  5.9556e-11  4.1247e-10  3.2935e-10  8.1364e-10  5.8918e-10  8.5054e-10  1.5069e-09  0.
12_18   2.4599e-09  2.4812e-09  2.6792e-09  2.3434e-09  2.4770e-09  1.4317e-09  1.1520e-09  9.1344e-10  1.0861e-09  4.0582e-10  5.1297e-10  3.8689e-10  2.9569e-10  7.8452e-10  1.2656e-10  3.0418e-10  3.2660e-10  7.4141e-10  6.1168e-10  8.3618e-10  1.3556e-09  0.
13_11   5.9301e-09  8.4585e-09  1.1181e-08  1.0787e-08  1.0944e-08  8.4821e-09  5.7580e-09  2.7040e-09  1.9118e-09  1.9498e-09  1.2754e-09  1.2410e-09  7.4855e-10  1.2876e-09  1.0384e-09  6.0917e-10  7.5815e-10  8.3355e-10  4.3658e-10  1.4558e-09  4.1235e-09  0.
13_12   5.9051e-09  8.5518e-09  1.1297e-08  1.1267e-08  1.1214e-08  8.8060e-09  5.9614e-09  2.8922e-09  1.8967e-09  1.8661e-09  1.2547e-09  1.0752e-09  6.5393e-10  1.1866e-09  6.6464e-10  6.2142e-10  6.9211e-10  8.9315e-10  4.1109e-10  1.3158e-09  4.0116e-09  0.
13_13   4.0326e-09  7.6341e-09  9.9107e-09  9.9916e-09  9.4626e-09  7.4766e-09  4.9482e-09  2.5145e-09  1.6962e-09  1.6319e-09  1.0916e-09  8.3957e-10  5.0335e-10  1.0603e-09  3.8607e-10  5.3005e-10  5.8149e-10  8.9726e-10  5.6432e-10  1.0168e-09  3.4093e-09  4.8129e-08
13_14   4.2932e-09  6.7045e-09  8.6458e-09  8.4994e-09  7.4333e-09  5.5914e-09  3.5409e-09  1.8766e-09  1.3315e-09  1.2627e-09  8.5711e-10  6.9755e-10  4.0958e-10  1.0674e-09  4.0585e-10  4.2480e-10  4.5957e-10  8.5324e-10  7.3155e-10  9.0530e-10  2.7424e-09  4.3078e-08
13_15   4.5977e-09  6.1653e-09  7.7651e-09  7.3148e-09  6.1802e-09  3.9763e-09  2.4242e-09  1.3598e-09  1.0158e-09  9.6861e-10  7.1129e-10  5.5819e-10  3.6831e-10  1.0348e-09  4.1756e-10  3.7623e-10  3.6625e-10  7.7885e-10  7.5366e-10  1.0725e-09  2.3250e-09  0.
13_16   3.5819e-09  5.3545e-09  6.4829e-09  5.9140e-09  4.9893e-09  2.6763e-09  1.5748e-09  1.0436e-09  9.1232e-10  8.5000e-10  6.2793e-10  3.9258e-10  3.2244e-10  9.4095e-10  3.5236e-10  3.3536e-10  2.8561e-10  7.4887e-10  6.2897e-10  1.0695e-09  1.9956e-09  0.
13_17   3.1557e-09  4.1512e-09  4.7544e-09  4.2820e-09  3.7846e-09  1.8313e-09  1.0456e-09  8.8611e-10  1.0111e-09  8.1407e-10  5.9423e-10  3.4727e-10  2.8991e-10  8.2652e-10  1.5569e-10  3.0044e-10  2.0228e-10  7.2832e-10  4.9463e-10  8.8727e-10  1.6127e-09  0.
13_18   2.5915e-09  3.0808e-09  3.3874e-09  2.8873e-09  2.8805e-09  1.5238e-09  9.8577e-10  9.3628e-10  1.1330e-09  6.9608e-10  6.4366e-10  4.3280e-10  2.9773e-10  8.1067e-10  8.6167e-11  3.3440e-10  1.8294e-10  6.5052e-10  3.8286e-10  9.2536e-10  1.2844e-09  0.
14_10   5.9910e-09  7.6484e-09  8.7719e-09  7.9752e-09  7.1325e-09  6.7592e-09  4.3307e-09  1.9971e-09  1.9045e-09  2.7495e-09  1.0153e-09  7.2210e-10  4.7202e-10  1.2378e-09  1.2391e-09  6.4989e-10  9.4321e-10  5.5767e-10  4.7085e-10  2.0344e-09  4.0460e-09  0.
14_11   5.0309e-09  8.0243e-09  9.4244e-09  8.8355e-09  8.3770e-09  6.8760e-09  4.5981e-09  2.1401e-09  1.8625e-09  2.0883e-09  1.0284e-09  8.2329e-10  4.9445e-10  1.3133e-09  1.0090e-09  6.6603e-10  8.3711e-10  7.7457e-10  4.5643e-10  1.9333e-09  3.9448e-09  0.
14_12   3.7806e-09  7.4338e-09  9.0130e-09  8.8662e-09  8.6162e-09  6.8513e-09  4.6808e-09  2.3023e-09  1.7347e-09  1.6427e-09  9.4805e-10  7.9749e-10  4.3569e-10  1.1650e-09  7.1002e-10  6.8279e-10  6.2913e-10  8.3292e-10  5.0149e-10  1.3535e-09  3.5359e-09  0.
14_13   4.2778e-09  7.2382e-09  9.0672e-09  9.1354e-09  8.7567e-09  6.5137e-09  4.3626e-09  2.3189e-09  1.5354e-09  1.3256e-09  9.2980e-10  7.6567e-10  4.2767e-10  1.0519e-09  5.4724e-10  6.3453e-10  4.8103e-10  7.6735e-10  6.4774e-10  1.0179e-09  3.2245e-09  0.
14_14   5.2816e-09  7.6497e-09  9.7937e-09  9.6933e-09  8.6856e-09  6.0061e-09  3.8375e-09  2.0580e-09  1.2954e-09  1.0859e-09  9.3623e-10  7.6003e-10  4.6342e-10  1.0929e-09  4.4577e-10  5.2406e-10  3.9624e-10  7.1946e-10  8.2381e-10  1.0390e-09  2.9918e-09  0.
14_15   5.3041e-09  7.7603e-09  9.8626e-09  9.3525e-09  7.8286e-09  5.0761e-09  3.0705e-09  1.6260e-09  1.1280e-09  9.9469e-10  8.7037e-10  6.6791e-10  4.1684e-10  1.0790e-09  3.5856e-10  3.8979e-10  3.2510e-10  7.1843e-10  9.0011e-10  1.2396e-09  2.7337e-09  0.
14_16   5.1698e-09  6.7729e-09  8.4341e-09  7.5441e-09  5.9766e-09  3.6322e-09  2.1006e-09  1.2272e-09  1.0750e-09  1.0142e-09  7.4026e-10  5.0322e-10  2.8258e-10  9.9577e-10  3.3044e-10  2.9348e-10  2.4461e-10  7.5931e-10  7.9128e-10  1.1773e-09  2.2671e-09  0.
14_17   3.2835e-09  5.1025e-09  5.9921e-09  5.2855e-09  4.0082e-09  2.3478e-09  1.3100e-09  1.0396e-09  1.1210e-09  1.0595e-09  6.6511e-10  4.1670e-10  1.9267e-10  9.1159e-10  2.5661e-10  2.9494e-10  1.7377e-10  7.5602e-10  5.4994e-10  8.9723e-10  1.7426e-09  0.
14_18   2.0976e-09  3.6633e-09  3.9412e-09  3.4880e-09  2.6626e-09  1.7454e-09  1.0877e-09  1.0822e-09  1.1793e-09  1.0175e-09  6.2793e-10  4.6550e-10  2.0417e-10  8.8967e-10  2.9047e-10  4.0769e-10  1.6132e-10  6.9236e-10  3.0005e-10  9.3955e-10  1.3171e-09  0.
14_19   1.9075e-09  3.0153e-09  2.8552e-09  2.4689e-09  2.1396e-09  1.5653e-09  1.3986e-09  1.1960e-09  1.2569e-09  9.5502e-10  5.3748e-10  5.5248e-10  2.2920e-10  8.8608e-10  6.7395e-10  5.5382e-10  2.7471e-10  6.6240e-10  1.1754e-10  1.0797e-09  1.0983e-09  0.
15_11   4.5744e-09  7.6078e-09  8.0988e-09  6.8086e-09  6.1330e-09  5.0119e-09  3.3649e-09  1.6216e-09  1.6451e-09  2.1546e-09  8.5553e-10  5.5716e-10  2.8008e-10  1.2562e-09  1.1450e-09  7.6306e-10  7.7818e-10  7.7129e-10  5.0416e-10  2.2073e-09  4.0201e-09  0.
15_12   3.7117e-09  6.2936e-09  7.1065e-09  6.1731e-09  6.1117e-09  4.5650e-09  3.3194e-09  1.6666e-09  1.5144e-09  1.4034e-09  7.1947e-10  6.4399e-10  2.7803e-10  1.0716e-09  9.7445e-10  7.8375e-10  5.3638e-10  7.7536e-10  6.6430e-10  1.5723e-09  3.1350e-09  0.
15_13   4.6504e-09  6.2962e-09  7.7499e-09  7.2255e-09  7.1533e-09  4.8078e-09  3.4269e-09  1.8757e-09  1.3850e-09  1.0774e-09  7.6627e-10  7.1825e-10  3.7574e-10  1.0334e-09  1.0130e-09  7.9230e-10  3.9399e-10  6.8081e-10  8.2264e-10  1.2394e-09  2.8664e-09  0.
15_14   5.2725e-09  7.3914e-09  9.4715e-09  9.0958e-09  8.2484e-09  5.4146e-09  3.6077e-09  1.9527e-09  1.2617e-09  1.0832e-09  9.2570e-10  7.5134e-10  4.9061e-10  1.0813e-09  8.3818e-10  6.8890e-10  3.4157e-10  6.5619e-10  9.7619e-10  1.1937e-09  2.8857e-09  0.
15_15   5.3624e-09  8.0748e-09  1.0290e-08  9.7013e-09  8.1504e-09  5.4613e-09  3.4658e-09  1.8060e-09  1.1900e-09  1.1911e-09  9.7229e-10  7.1011e-10  4.6685e-10  1.0605e-09  4.5217e-10  4.8686e-10  2.8602e-10  7.1304e-10  1.0396e-09  1.2436e-09  2.7948e-09  0.
15_16   5.0090e-09  7.3831e-09  9.2423e-09  8.3895e-09  6.6197e-09  4.5241e-09  2.8683e-09  1.5857e-09  1.2000e-09  1.2878e-09  8.6562e-10  6.4059e-10  3.3645e-10  1.0535e-09  1.9301e-10  3.6371e-10  2.3638e-10  8.0347e-10  8.7808e-10  1.0980e-09  2.3693e-09  3.6854e-08
15_17   3.6685e-09  5.8068e-09  6.9210e-09  6.2847e-09  4.6876e-09  3.3098e-09  2.1881e-09  1.4694e-09  1.3018e-09  1.3628e-09  7.6607e-10  6.0439e-10  2.5590e-10  1.0142e-09  1.9026e-10  3.7106e-10  2.2425e-10  8.2848e-10  5.3910e-10  8.6314e-10  1.8778e-09  0.
15_18   3.2115e-09  4.3814e-09  4.8748e-09  4.4305e-09  3.2037e-09  2.5371e-09  1.8598e-09  1.4913e-09  1.4170e-09  1.3684e-09  7.0145e-10  6.3004e-10  2.7545e-10  9.5752e-10  3.9402e-10  4.7741e-10  2.4874e-10  7.8320e-10  2.3924e-10  8.8737e-10  1.4921e-09  0.
15_19   3.0966e-09  3.5901e-09  3.6015e-09  3.4557e-09  2.3286e-09  2.3277e-09  2.0826e-09  1.6313e-09  1.6926e-09  1.4623e-09  6.0597e-10  6.6981e-10  3.2552e-10  9.4626e-10  7.4867e-10  5.6141e-10  3.5139e-10  7.4557e-10  1.1187e-10  1.0029e-09  1.3306e-09  0.
15_20   2.9698e-09  3.3675e-09  3.1491e-09  3.5768e-09  2.7923e-09  2.4288e-09  2.5768e-09  1.8460e-09  2.1467e-09  1.6645e-09  5.3734e-10  7.3602e-10  4.6201e-10  9.5919e-10  1.0097e-09  5.4890e-10  4.9221e-10  7.4070e-10  2.0965e-10  8.3332e-10  1.2560e-09  0.
16_12   4.3941e-09  5.6502e-09  5.8126e-09  5.0146e-09  4.8853e-09  3.2051e-09  2.6636e-09  1.3982e-09  1.3461e-09  1.5551e-09  6.0669e-10  5.7113e-10  2.1120e-10  1.0778e-09  1.2135e-09  8.9169e-10  5.1201e-10  8.0581e-10  8.7769e-10  1.8687e-09  3.0885e-09  0.
16_13   3.5612e-09  5.6745e-09  6.4292e-09  6.0086e-09  5.6739e-09  3.5000e-09  2.7346e-09  1.5373e-09  1.2952e-09  1.2372e-09  6.7867e-10  6.8839e-10  3.0190e-10  1.1074e-09  1.2834e-09  9.6813e-10  3.6639e-10  7.1371e-10  1.0473e-09  1.5767e-09  2.8342e-09  0.
16_14   4.9149e-09  6.7368e-09  8.2373e-09  7.9154e-09  7.0396e-09  4.6502e-09  3.2835e-09  1.8070e-09  1.2770e-09  1.3480e-09  8.7845e-10  7.2109e-10  3.9566e-10  1.0915e-09  1.0776e-09  8.7682e-10  3.0685e-10  6.5298e-10  1.1514e-09  1.3444e-09  2.8135e-09  0.
16_15   5.1987e-09  7.7878e-09  9.7201e-09  9.3579e-09  7.9629e-09  5.6582e-09  3.8938e-09  2.0673e-09  1.3335e-09  1.5789e-09  1.0043e-09  7.5910e-10  4.3362e-10  1.0228e-09  6.0232e-10  6.5700e-10  2.7645e-10  6.8361e-10  1.1316e-09  1.1274e-09  2.8251e-09  3.9389e-08
16_16   5.3889e-09  7.8536e-09  9.7733e-09  9.4178e-09  7.7181e-09  5.8347e-09  4.1837e-09  2.3278e-09  1.5899e-09  1.8455e-09  1.0035e-09  8.6115e-10  4.7448e-10  1.0721e-09  1.8883e-10  5.3968e-10  2.9438e-10  7.8980e-10  8.7994e-10  9.1979e-10  2.6010e-09  4.0928e-08
16_17   4.5759e-09  7.0840e-09  8.5350e-09  8.5969e-09  6.9176e-09  5.3424e-09  4.1882e-09  2.5398e-09  2.0160e-09  2.1697e-09  1.0374e-09  9.7673e-10  5.9142e-10  1.1524e-09  1.5193e-10  5.6282e-10  3.7625e-10  8.9909e-10  4.8110e-10  8.7782e-10  2.2983e-09  3.9876e-08
16_18   3.9609e-09  5.9760e-09  6.6969e-09  7.5783e-09  5.9318e-09  4.8516e-09  4.2470e-09  2.8653e-09  2.5619e-09  2.5957e-09  1.0794e-09  9.7620e-10  6.8656e-10  1.2878e-09  4.2821e-10  6.4886e-10  4.8020e-10  9.2733e-10  2.2970e-10  8.7869e-10  2.0594e-09  0.
16_19   2.8063e-09  5.0151e-09  5.3887e-09  6.2989e-09  5.2780e-09  4.8596e-09  4.8029e-09  3.5662e-09  3.5616e-09  3.4446e-09  1.0065e-09  1.0209e-09  7.8549e-10  1.3514e-09  7.5456e-10  7.0033e-10  5.7041e-10  9.2581e-10  2.6395e-10  8.4483e-10  1.8537e-09  0.
17_14   5.0087e-09  6.1778e-09  7.4261e-09  6.9242e-09  6.2077e-09  4.6361e-09  3.6276e-09  2.2318e-09  1.6268e-09  1.9973e-09  8.6414e-10  8.2970e-10  3.5259e-10  1.0796e-09  1.1450e-09  1.0574e-09  4.7754e-10  6.4342e-10  1.2048e-09  1.5404e-09  2.7516e-09  0.
17_15   5.2091e-09  7.6164e-09  9.6353e-09  9.2673e-09  8.2804e-09  6.8353e-09  5.3664e-09  3.3342e-09  2.3129e-09  2.5161e-09  1.0813e-09  1.0641e-09  5.5582e-10  1.0417e-09  9.7484e-10  9.1082e-10  4.7300e-10  5.7459e-10  1.1477e-09  1.1232e-09  2.9399e-09  3.8803e-08
17_16   5.7985e-09  8.7348e-09  1.1445e-08  1.1271e-08  1.0362e-08  8.9894e-09  7.4881e-09  4.8809e-09  3.5529e-09  3.4274e-09  1.3101e-09  1.4360e-09  9.3440e-10  1.2230e-09  7.6810e-10  8.6976e-10  5.2538e-10  7.1711e-10  8.7384e-10  9.5892e-10  3.0992e-09  4.6725e-08
17_17   6.4911e-09  9.3925e-09  1.2259e-08  1.2749e-08  1.1982e-08  1.0624e-08  9.5277e-09  6.5580e-09  5.2055e-09  4.7105e-09  1.6052e-09  1.8345e-09  1.4253e-09  1.5877e-09  6.9051e-10  1.0047e-09  6.6576e-10  9.9615e-10  5.1945e-10  1.1645e-09  3.2441e-09  6.0018e-08
17_18   6.6847e-09  9.1531e-09  1.1745e-08  1.2937e-08  1.2856e-08  1.2060e-08  1.1669e-08  8.6912e-09  7.5631e-09  6.8948e-09  1.8583e-09  2.0425e-09  1.7913e-09  2.0314e-09  9.2584e-10  1.2319e-09  8.7073e-10  1.2586e-09  4.3424e-10  1.2424e-09  3.1972e-09  0.
17_19   6.5508e-09  8.6347e-09  1.1516e-08  1.2203e-08  1.3658e-08  1.3984e-08  1.4415e-08  1.1870e-08  1.1146e-08  1.0392e-08  2.0265e-09  2.3860e-09  2.2267e-09  2.4139e-09  1.4015e-09  1.5360e-09  1.1082e-09  1.4349e-09  6.5475e-10  1.0733e-09  3.0625e-09  0.
17_20   5.6569e-09  9.8684e-09  1.3449e-08  1.6517e-08  1.9145e-08  1.5897e-08  1.6817e-08  1.4957e-08  1.4611e-08  1.3452e-08  2.5556e-09  3.2237e-09  3.2767e-09  3.3736e-09  2.6168e-09  1.7596e-09  1.2972e-09  1.4299e-09  8.5632e-10  1.1381e-09  3.8457e-09  0.
17_21   5.8810e-09  1.1885e-08  1.7057e-08  2.1478e-08  2.6405e-08  1.6856e-08  1.7546e-08  1.6126e-08  1.5643e-08  1.3663e-08  3.1163e-09  4.1981e-09  4.3547e-09  4.0017e-09  3.7525e-09  1.7684e-09  1.2350e-09  1.2785e-09  8.2834e-10  1.5127e-09  4.7041e-09  0.
17_22   5.5943e-09  1.2186e-08  1.7001e-08  2.3176e-08  2.8069e-08  1.6141e-08  1.6209e-08  1.4712e-08  1.3650e-08  1.1274e-08  3.0526e-09  4.0214e-09  4.1512e-09  3.8872e-09  3.9255e-09  1.5428e-09  9.0364e-10  1.2248e-09  6.2931e-10  1.6319e-09  5.0378e-09  0.
18_13   5.4571e-09  5.5615e-09  6.0612e-09  5.6561e-09  5.0480e-09  4.2520e-09  4.1727e-09  3.1579e-09  2.1476e-09  3.2187e-09  8.9550e-10  8.1445e-10  4.6129e-10  1.0543e-09  1.2848e-09  1.0951e-09  8.6111e-10  1.0065e-09  9.4186e-10  1.9031e-09  2.5259e-09  0.
18_14   5.0891e-09  6.5013e-09  7.6777e-09  7.8758e-09  7.3889e-09  6.3260e-09  5.9542e-09  4.5192e-09  3.4398e-09  3.8404e-09  1.0269e-09  1.1833e-09  6.9714e-10  1.2648e-09  1.5409e-09  1.2469e-09  8.8509e-10  6.8577e-10  1.0210e-09  1.7798e-09  2.8860e-09  0.
18_15   5.2683e-09  8.3072e-09  1.0980e-08  1.1634e-08  1.1834e-08  1.0743e-08  9.9941e-09  7.7229e-09  6.0055e-09  5.4671e-09  1.4482e-09  1.8597e-09  1.3771e-09  1.6858e-09  1.8527e-09  1.3802e-09  9.6633e-10  5.3150e-10  1.0430e-09  1.3544e-09  3.4087e-09  0.
18_16   6.6326e-09  1.1142e-08  1.5679e-08  1.7221e-08  1.8055e-08  1.6945e-08  1.5948e-08  1.2526e-08  9.8191e-09  7.9671e-09  2.1822e-09  2.8073e-09  2.4301e-09  2.4180e-09  2.0733e-09  1.6285e-09  1.0444e-09  7.5566e-10  9.1236e-10  1.4002e-09  4.3584e-09  0.
18_17   1.0774e-08  1.4498e-08  2.0646e-08  2.3121e-08  2.4791e-08  2.3454e-08  2.2517e-08  1.8021e-08  1.4511e-08  1.1307e-08  3.0155e-09  3.8972e-09  3.6159e-09  3.2397e-09  2.2185e-09  2.0338e-09  1.1694e-09  1.2029e-09  7.6740e-10  1.9072e-09  5.5320e-09  0.
18_18   1.0575e-08  1.6785e-08  2.3922e-08  2.7336e-08  3.0306e-08  2.9709e-08  2.9511e-08  2.4576e-08  2.0925e-08  1.6944e-08  3.7751e-09  4.8165e-09  4.6171e-09  4.2769e-09  2.6791e-09  2.6521e-09  1.4921e-09  1.7136e-09  9.1222e-10  2.1722e-09  6.4363e-09  2.2668e-07
18_19   8.9596e-09  1.7727e-08  2.5979e-08  2.9850e-08  3.4429e-08  3.5376e-08  3.6419e-08  3.2096e-08  2.8972e-08  2.4907e-08  4.4580e-09  5.7372e-09  5.6408e-09  5.4686e-09  3.5767e-09  3.4364e-09  2.0020e-09  2.1458e-09  1.3008e-09  2.0723e-09  6.9724e-09  2.8631e-07
18_20   8.4912e-09  1.9320e-08  2.9149e-08  3.5481e-08  4.2974e-08  3.9237e-08  4.1160e-08  3.7891e-08  3.5628e-08  3.1431e-08  5.2876e-09  6.9745e-09  7.1452e-09  6.8662e-09  5.4624e-09  4.0725e-09  2.4727e-09  2.3220e-09  1.4904e-09  2.2110e-09  7.9226e-09  0.
18_21   1.6289e-08  2.1023e-08  3.2903e-08  3.9762e-08  5.0324e-08  3.8594e-08  4.0310e-08  3.7592e-08  3.5754e-08  3.1196e-08  5.7681e-09  8.0385e-09  8.3125e-09  7.3688e-09  6.6911e-09  4.0340e-09  2.4831e-09  2.1768e-09  1.2242e-09  2.7077e-09  8.6680e-09  0.
18_22   1.2833e-08  1.9849e-08  3.0777e-08  3.8848e-08  4.8964e-08  3.3159e-08  3.3988e-08  3.1021e-08  2.9078e-08  2.4846e-08  5.2770e-09  7.4103e-09  7.6603e-09  6.8514e-09  6.4613e-09  3.3007e-09  1.9393e-09  2.0236e-09  7.9014e-10  2.9788e-09  8.4177e-09  0.
19_14   4.8088e-09  7.5497e-09  9.5305e-09  9.4510e-09  9.9378e-09  1.4756e-08  1.5520e-08  1.3421e-08  1.0781e-08  1.0154e-08  1.3408e-09  1.7923e-09  1.4212e-09  1.6749e-09  2.2112e-09  1.9901e-09  1.4587e-09  8.4343e-10  8.1218e-10  1.9053e-09  3.0799e-09  0.
19_15   7.0245e-09  1.1194e-08  1.6197e-08  1.7191e-08  1.9535e-08  2.2872e-08  2.3403e-08  2.0226e-08  1.6431e-08  1.3797e-08  2.4029e-09  3.4187e-09  3.1241e-09  3.0536e-09  3.2221e-09  2.6121e-09  1.7275e-09  7.4374e-10  1.0189e-09  1.8024e-09  4.4514e-09  0.
19_16   9.0326e-09  1.6701e-08  2.5295e-08  2.7894e-08  3.2413e-08  3.4009e-08  3.3825e-08  2.8970e-08  2.3249e-08  1.7900e-08  3.9181e-09  5.3436e-09  5.2246e-09  4.6521e-09  4.1851e-09  3.1528e-09  1.8849e-09  1.0536e-09  1.1086e-09  2.2882e-09  6.6142e-09  0.
19_17   1.4629e-08  2.3046e-08  3.4845e-08  3.9213e-08  4.5134e-08  4.5868e-08  4.5162e-08  3.8700e-08  3.1241e-08  2.3026e-08  5.3976e-09  7.3092e-09  7.1650e-09  6.2206e-09  4.9692e-09  3.7433e-09  1.9822e-09  1.5419e-09  1.2328e-09  2.9255e-09  9.2817e-09  0.
19_18   1.6988e-08  2.8496e-08  4.2355e-08  4.8679e-08  5.5645e-08  5.6664e-08  5.6320e-08  4.9254e-08  4.1173e-08  3.1217e-08  6.6925e-09  9.0251e-09  8.7478e-09  7.7291e-09  5.8877e-09  4.5692e-09  2.2270e-09  2.0866e-09  1.5977e-09  3.3358e-09  1.1761e-08  3.0334e-07
19_19   1.8592e-08  3.1012e-08  4.6308e-08  5.4010e-08  6.3061e-08  6.4647e-08  6.5709e-08  5.9421e-08  5.2243e-08  4.2266e-08  7.7208e-09  1.0268e-08  1.0069e-08  9.0380e-09  7.0519e-09  5.6161e-09  2.8067e-09  2.6781e-09  2.0731e-09  3.5937e-09  1.3143e-08  3.7192e-07
19_20   2.0885e-08  3.1744e-08  4.8552e-08  5.7709e-08  7.0061e-08  6.8250e-08  7.0680e-08  6.5785e-08  6.0397e-08  5.1040e-08  8.4573e-09  1.1252e-08  1.1379e-08  1.0243e-08  8.8721e-09  6.5107e-09  3.5089e-09  3.0629e-09  2.2233e-09  3.7523e-09  1.3703e-08  0.
19_21   1.8142e-08  3.1493e-08  4.8663e-08  5.9567e-08  7.3339e-08  6.4227e-08  6.6982e-08  6.2776e-08  5.9100e-08  5.0504e-08  8.5091e-09  1.1581e-08  1.1958e-08  1.0757e-08  9.7840e-09  6.4271e-09  3.6700e-09  3.0406e-09  1.8173e-09  3.8019e-09  1.3983e-08  0.
