X_Y    13CO J=1-0    C18O J=1-0    C2H N=1-0 J=3/2-1/2 F=2-1    C3H2 J=2-1 K+=1-0 K-=2-1    CN N=1-0 J=3/2-1/2    CO J=1-0    CS J=2-1    HCN J=1-0 F=2-1    HCO+ J=1-0    HNC J=1-0    SO J=3-2 K=2-1
28_0    4.874482685290065e-10    1.104767611661367e-10    9.905009631341495e-12    -7.225608895438045e-11    3.1388816325446453e-10    2.4967622682618735e-09    3.0036177750782286e-11    7.091068926706079e-11    -5.5941278096334136e-11    9.175295841717946e-12    8.048458901936098e-12
29_0    4.76456701642203e-10    -1.318006786699538e-11    9.642708508240896e-12    -1.4877223424869387e-10    3.382987074372324e-10    2.4290050815438967e-09    6.003221512704077e-11    1.3261004558725242e-10    -1.3274358795033195e-11    1.0013321036549544e-10    1.814880934666715e-11
30_0    4.79620249561714e-10    -1.1232727313794931e-10    9.489019216897783e-12    -1.0211487754596951e-10    3.264422834117666e-10    2.563940851260484e-09    4.662288868833385e-11    9.022531185104735e-11    8.276742928442922e-11    -9.451469864580397e-12    4.354042996620032e-11
31_0    4.973493857397434e-10    -1.1677409360791316e-10    2.6003696694062477e-11    7.807101438832535e-11    3.337182573580594e-10    2.7238036765614093e-09    4.672391448472984e-11    5.43952441442377e-11    8.387039172488289e-11    -7.740369169675282e-11    1.4575325993395548e-10
32_0    4.470269989781284e-10    -4.750516132762277e-11    1.2901385548162354e-10    7.043700213055534e-11    2.9303048888084534e-10    2.613485476718847e-09    7.526370196659735e-11    1.3415123275170486e-10    -4.176548970068389e-11    -1.6686006331633472e-11    1.5951811962420418e-10
33_0    3.9639364747999544e-10    1.697373548684053e-11    8.531179082430224e-11    -2.9470876037823338e-12    2.1383889076640044e-10    2.415327158736068e-09    5.396204318993043e-11    9.059376588107893e-11    -2.3577116403198782e-11    -1.1810412980334269e-11    8.936225167078737e-11
34_0    3.761685010168572e-10    3.0523240585308366e-11    -3.43748983661798e-11    2.393489988620978e-12    1.2850121598111187e-10    2.3000571875277376e-09    1.543302208393249e-11    -2.5626055213009477e-11    4.095238278154413e-11    1.064663663256104e-11    9.299772211604569e-11
35_0    3.8904244110870724e-10    6.230147512375347e-11    2.2340328079995247e-12    -4.4871141307486914e-11    1.252702919217992e-10    2.357783000459943e-09    -2.600480274512908e-11    -5.541121125235809e-11    7.591850130171948e-11    3.5496392012207834e-11    9.228065109676065e-11
36_0    4.2212494287775765e-10    6.934367181897976e-11    6.17352146391415e-11    -7.610583954096098e-11    2.1291009932920248e-10    2.499211242143846e-09    -4.4164805658262125e-11    -6.498386158599524e-11    1.1905473192966195e-10    7.983697041644699e-11    7.652850705979321e-11
37_0    4.1989428916780106e-10    5.3449163738303844e-11    7.75645017662281e-11    -3.159540825664952e-11    1.9731469438988574e-10    2.3559731818493643e-09    -1.678065472541218e-11    7.543154344881556e-12    1.8014548842023024e-10    1.268061488990144e-10    1.1551778008421509e-10
38_0    4.265199111538804e-10    8.361734258934868e-11    7.227517654776438e-11    3.690913375705085e-11    1.305537303917099e-10    2.21155100231527e-09    1.4371019199867317e-11    -1.2528051028925858e-11    7.532526161098204e-11    8.978806755258388e-11    1.4320955470486444e-10
39_0    4.599963015891774e-10    7.187196239060049e-11    1.1165193472862574e-10    9.174445826288926e-12    1.4544791102658681e-10    2.3233291673567e-09    3.073719821601788e-11    -1.0143831504498239e-11    1.524744399935099e-10    -3.362419524264494e-11    1.1885209006872952e-10
40_0    4.2375439809711253e-10    3.108268701835593e-11    -2.3549564193723514e-11    -6.182275622031502e-11    1.4137816393140016e-10    2.4163228953693973e-09    8.240478189300828e-12    3.9189062856284094e-11    1.193618587450301e-10    -1.5399915875869354e-11    5.962839367712426e-11
41_0    3.9738458844036657e-10    6.28315715833328e-11    -9.03948225310556e-11    8.289478505234572e-11    7.412590189854319e-11    2.4162892556182714e-09    8.596532520501332e-12    2.4187975720969426e-11    5.2124794214278474e-11    4.9180927556027483e-11    4.3250978699108124e-11
42_0    4.52694849575732e-10    1.0057264256823363e-10    -2.1892701348481835e-11    2.5025862076281584e-11    2.8997928203040942e-11    2.295811850935637e-09    3.6416213613187836e-13    3.7147064388876095e-11    7.405849820233201e-11    6.70489221056954e-11    7.672568988090296e-11
43_0    4.760047662251299e-10    1.015489784203402e-10    -8.30873049094113e-11    -6.688977682569257e-11    -9.687602323138448e-12    2.1718695518870477e-09    -1.4395179361087441e-12    6.286253238777886e-11    5.4255284438779636e-11    2.9566160062641264e-11    9.271529636514505e-11
44_0    4.465750635610554e-10    8.68140937811847e-11    -3.941115091783604e-11    3.6125382975048775e-11    -1.29723310146155e-11    2.2864129044710343e-09    -2.3666425165134064e-11    1.0939728145999142e-11    7.61124761324783e-11    -7.457696474090116e-12    8.610709583536453e-11
0_1    3.327248727753107e-09    2.8804529860706704e-10    1.40772683502191e-10    9.59147598923543e-11    2.1266224520398627e-10    1.728119740987744e-08    4.343734474971347e-10    4.256132756049895e-10    6.948172904156919e-10    2.2248905758082546e-10    2.5025687654790474e-10
1_1    2.590527658780235e-09    2.7166082566318676e-10    2.124128347650522e-10    4.941751659673423e-11    3.5051853324059514e-10    1.5564325431660187e-08    3.8131765608253414e-10    3.2405589781278867e-10    5.707649979556813e-10    2.2948503426385595e-10    2.402530098588702e-10
2_1    1.8966824076784803e-09    1.9684235248119984e-10    2.4231267821413335e-10    -3.6145983951654014e-12    4.670223206963054e-10    1.305367642997358e-08    2.5238163539928955e-10    2.5778961937278824e-10    4.882238580970335e-10    2.4267867863198673e-10    1.6274611013035213e-10
3_1    1.4569409544734228e-09    1.1233838805469327e-10    2.2393633715014567e-10    8.908727106678001e-13    4.301070507726488e-10    1.0365234615635888e-08    1.4729016670930996e-10    2.343868264264623e-10    3.743218374754531e-10    1.5779804128777853e-10    7.674723479722372e-11
4_1    1.1454330662154817e-09    4.141447665822591e-11    2.375738659076163e-10    2.9199429463776995e-11    3.6486937529492965e-10    7.950647287264662e-09    5.198957611639407e-11    1.404471462745745e-10    2.379639972796919e-10    6.65144948800359e-11    4.435470108490775e-12
5_1    9.192912174265043e-10    4.232492481479155e-11    1.3964077784377778e-10    6.416193210381607e-11    3.5542886745795896e-10    6.5569187583637e-09    1.4425228163787116e-11    9.901991605330587e-11    2.5726772585404034e-10    5.735193334285631e-11    2.232571290642244e-11
6_1    8.03073329898447e-10    1.1018745428480697e-10    7.008874228754827e-11    -2.9302540431289035e-11    2.5702195931563073e-10    6.159646753466187e-09    3.1281751899030416e-11    9.073029658152752e-11    1.4335600649092186e-10    8.285117550879917e-11    8.597735796969377e-11
7_1    8.019870264188771e-10    1.3310319479394613e-10    7.370984656071786e-11    9.529123588545775e-11    6.241854316546721e-11    5.9596315212212525e-09    3.8933839965073115e-11    4.037729729293932e-11    1.1379047055045698e-10    9.812033442246706e-11    8.023657450569763e-11
8_1    8.033511250630698e-10    6.030387999076244e-11    7.668460395274178e-11    7.490944535868991e-11    2.4610645573769493e-11    5.626638352775288e-09    2.531999788975967e-11    3.024958109852772e-11    1.9775301486338753e-10    7.887029240893654e-11    4.0755983715612764e-11
9_1    7.355110581442679e-10    -1.6446300628675782e-11    5.939935037510218e-11    3.270915162526328e-11    7.757821878856498e-11    5.215432762961386e-09    5.5067166840749996e-11    1.4370285571244586e-11    1.578254512275807e-10    1.060949837390203e-10    3.707554996672759e-11
10_1    6.804827383700122e-10    -1.452058060709178e-12    1.6037640925316422e-10    4.3056286889041967e-11    4.7059525790413547e-11    4.900214839010396e-09    9.160524054460256e-11    3.80018605922099e-12    1.0665111914058335e-10    5.93528146598724e-11    -3.708976628511365e-12
11_1    6.820085386771944e-10    1.0408385776151502e-10    1.4090614117781457e-10    1.278592929710129e-10    -4.365508403870807e-11    4.594247846619032e-09    8.85054734259158e-11    -1.6987060237026427e-11    1.3478986243702215e-10    1.407976514452826e-11    7.284551108040674e-12
12_1    7.34329392145499e-10    1.6963372911804368e-10    7.614083491270103e-11    3.5366686521323805e-11    -1.6735987177294102e-10    4.027983187964996e-09    5.099656645913591e-11    1.2312785801602245e-11    1.0883387480559452e-10    7.050515137887149e-11    4.0778465367425744e-11
13_1    7.237731758898306e-10    1.6339835720366864e-10    8.852861772370784e-11    -1.0658454627741185e-11    -3.243115119690013e-10    3.5795720334057466e-09    3.195689990421338e-11    9.620285247418097e-11    1.607911108622935e-10    1.1570490040191956e-10    1.2224673702172718e-12
14_1    6.189946444691535e-10    1.5357450179851542e-10    1.2860212435469976e-10    7.38370218561616e-11    -3.845568232163899e-10    3.565234771475848e-09    7.307686308119632e-11    1.3587128109578428e-10    1.778711335295829e-10    4.874867677417654e-11    -4.748973416631869e-13
15_1    5.725904133876766e-10    1.1546805359288882e-10    1.1026979592841771e-10    4.8344601832867154e-11    -2.6065798598910517e-10    3.6891501587235587e-09    1.0707943569989096e-10    4.790675675130302e-11    1.46044713172829e-10    2.5898025729914383e-11    2.8006076931171176e-11
16_1    5.729304014996031e-10    3.061248846381381e-11    2.0724489924090505e-10    3.7148831501035394e-11    -1.035308192061481e-10    3.976083779927813e-09    1.424249121975079e-10    7.299442200971509e-11    1.8713235406036842e-10    1.2610646238162978e-10    5.00469946950763e-11
17_1    5.53609125870601e-10    -2.7144665447372302e-11    1.2956649803733077e-10    2.665889034501052e-11    -2.6209152570199853e-11    4.405118437838491e-09    1.3852433083909683e-10    1.6580429571029246e-10    2.0690916569417864e-10    5.1500332830481536e-11    7.436183786631576e-11
18_1    5.598035434220517e-10    -5.829396960828665e-12    1.4040319030984014e-10    6.703849397829922e-11    7.772816612410502e-11    4.601446753359995e-09    9.860682104360765e-11    5.412039413154424e-11    2.1914358932531763e-10    5.2151152353001196e-11    5.703550983469318e-11
19_1    6.240654427726423e-10    2.9861368734647164e-11    1.0293601270040066e-10    3.760846316745252e-11    2.0245965208520948e-10    4.375461633245816e-09    8.768001874804612e-11    -1.0945129589227101e-11    1.187012666825014e-10    1.0044818035967048e-10    1.2145271577107624e-11
20_1    6.575211022255145e-10    2.80794060597901e-11    2.6878625338775574e-11    3.9130050690948865e-11    2.493561222969339e-10    3.916770170742461e-09    7.423249963021388e-11    2.08921603843763e-11    6.123891716507189e-11    6.215200497481876e-11    1.034627106432173e-11
21_1    6.091764511881548e-10    2.98326177402293e-11    5.111290650513444e-11    2.4110453255489952e-11    2.108787539542101e-10    3.6367730662203867e-09    8.321886742182803e-11    -4.343959653127422e-12    1.0984469920143776e-10    3.3876229009730544e-11    1.4447299049208192e-11
22_1    5.50399969789734e-10    2.0773059603350917e-11    2.0320673973141238e-10    1.266686047291712e-11    1.1629903104075378e-10    3.4529587381177313e-09    4.111205469712327e-11    -8.590167654337035e-11    2.0275487140209366e-10    3.7402204811941193e-11    3.9722296099961494e-11
23_1    5.658196745245555e-10    2.8755655782306277e-12    1.9014634443288778e-10    4.514218253344656e-11    7.756675222761192e-11    3.3599650101050563e-09    8.697558316897325e-12    -3.5939351065582933e-12    1.5599185025793672e-10    3.0476863148760936e-11    5.250592536212167e-11
24_1    5.791621348194262e-10    5.845842553656593e-11    1.0329272803019241e-10    -4.947271068904962e-11    1.0442143797968238e-10    3.2996489363361496e-09    3.314087295709811e-11    6.041392283868552e-11    1.4099867347822773e-10    -6.194261876688802e-11    5.2176442444842535e-12
25_1    5.426880443240848e-10    1.475517674470237e-10    1.3070479262702444e-10    -9.865769687645814e-13    7.002881146569923e-11    3.0654557169472054e-09    3.54607702084841e-11    3.1080689379861074e-11    2.0558582629322396e-10    -5.5020386821562807e-11    -3.344751829963464e-11
26_1    5.336037278212688e-10    1.324395260061338e-10    1.1104427637578646e-10    7.467813684679817e-11    2.7412677068301733e-12    2.8726326634930304e-09    9.505736592876801e-11    9.607212357776887e-12    1.0675295592673173e-10    2.2297860944590582e-11    -3.3435809105982045e-11
27_1    5.426673133416502e-10    8.116572133617438e-11    6.342721660642236e-11    -6.294844680810456e-12    4.521340947697062e-11    2.830589702535764e-09    1.1895119879832718e-10    4.77594943800768e-11    -1.7378004103531134e-11    6.619996255688514e-12    -1.1537743504638599e-11
28_1    5.439567804490786e-10    5.1864864150069574e-11    1.9727991474114297e-11    -3.119529479089069e-11    2.1100929634044493e-10    2.7455147719381254e-09    6.606296236311854e-11    5.179205754144993e-12    -2.95806374151846e-11    4.4140963403818876e-11    1.2303579875290734e-11
29_1    5.735937929375083e-10    -5.6889366109804044e-11    2.3110285176585095e-13    -4.751749056075704e-11    3.0983429293598213e-10    2.6796817789845552e-09    -3.0349863060210433e-12    2.638439100678872e-11    -2.2754339829396736e-11    8.204531433893523e-11    -2.1717936857975416e-12
30_1    6.472178039555475e-10    -1.846342271617271e-10    -3.1752951957053776e-11    3.408555252848703e-11    3.0144782666354283e-10    2.843890860130982e-09    -2.8832293022309566e-11    1.629542806796296e-11    -2.5790045930772446e-11    2.3185907514909222e-11    -2.3038733901988358e-12
31_1    6.656932555012106e-10    -2.389795964019936e-10    -4.344114679291616e-11    2.1920720381737431e-10    2.8117582894168004e-10    2.999071032075191e-09    3.9782703059180896e-11    3.380951477703668e-11    -2.4764134603647963e-11    -1.5592718382882008e-11    6.914141096824194e-11
32_1    5.807832976458073e-10    -1.854440468378302e-10    -3.591143633898365e-11    2.6618720283232883e-11    2.332288453380278e-10    2.8278110590927567e-09    1.0148359219707884e-10    8.787388354288467e-11    -6.724623899675239e-11    2.6459107680045674e-11    9.677042431091335e-11
33_1    5.158538606608147e-10    -7.893598801685205e-11    -3.1930777211009667e-11    -4.9489073470563925e-11    1.8347984757844168e-10    2.5322656616002476e-09    9.854768399205876e-11    1.1056003936283852e-10    -8.692714085313313e-11    5.012095083906613e-11    4.3814893465417193e-11
34_1    4.965574622107438e-10    -1.5156099754173018e-11    -1.1819696687658528e-10    1.1642316056251712e-11    1.1387605850705683e-10    2.3779332113844132e-09    8.446567359198341e-11    4.2502764310839916e-11    -8.009922681042227e-11    2.616812693789524e-11    3.1610635105186625e-11
35_1    5.188764378997708e-10    2.000217356552199e-11    -6.400853634526652e-11    2.2171822644714203e-11    8.897245220330736e-11    2.416995690391917e-09    5.125775510347677e-11    -8.737668507136083e-11    -7.533606707734431e-11    1.1910959063339858e-11    4.926622566232114e-11
36_1    5.474064159261863e-10    5.791395595442131e-12    -3.1584710100017666e-11    9.966368853648634e-11    1.515948697405781e-10    2.4782940448937034e-09    2.5719172987714562e-11    -1.301722033167771e-10    -5.743057374138249e-11    6.09085620782095e-11    3.8937780125236607e-11
37_1    5.25282311472044e-10    -1.8869168512793402e-12    8.22330094223433e-12    9.11789250079732e-11    1.4229725289394557e-10    2.3320418628983323e-09    3.9613916057885154e-11    6.969383704166525e-11    7.691208349038415e-11    5.855450566194213e-11    7.411969174158007e-11
38_1    5.049493639002462e-10    6.954552775895516e-11    4.2607437862193144e-12    1.4821799421485874e-10    6.776548874219488e-11    2.295374534170999e-09    6.638575210282281e-11    1.2579424223560034e-10    7.014936654356725e-11    1.0247527215575051e-10    9.261459729973271e-11
39_1    4.949114222054413e-10    9.481286001985406e-11    -1.5745839576010673e-11    5.087478667418584e-11    4.3383169940231927e-11    2.4385789547143548e-09    7.837209323863497e-11    1.0884833787380834e-10    3.904550243138995e-11    -4.363978028113994e-13    7.25768883859139e-11
40_1    4.450534094503601e-10    6.518196537699302e-11    -3.8523799351189903e-11    -3.529422824422727e-11    5.1421229168328166e-11    2.4701532251212126e-09    2.766207153547649e-11    1.0955126230974236e-10    3.608523098642046e-11    -5.3665882572987753e-11    3.192163128859961e-11
41_1    4.285847170043607e-10    5.426856707921291e-11    -1.0164360087111543e-10    3.561605833474867e-11    1.1418808218847156e-11    2.4307947163037997e-09    4.443386671100282e-12    -1.3927501892822802e-12    5.247179363374705e-11    -4.621411010148954e-11    8.819860579769188e-12
42_1    4.757020938815858e-10    3.6705902343250636e-11    -5.356547322772201e-11    -3.22168916395235e-11    -3.5624081155813723e-11    2.383719248578084e-09    1.0467022727618965e-12    3.221407305476403e-11    1.155454039498501e-10    4.57246917084678e-12    2.4409949376584697e-11
43_1    5.161358020219245e-10    4.244591858296671e-11    -1.391902851809258e-10    6.355072741972251e-11    -8.962540894268523e-11    2.3188079848053667e-09    4.522236073165445e-12    1.917032342850059e-11    7.348088426185017e-11    -8.550540177433719e-12    1.2387886069589435e-11
44_1    5.045637676269637e-10    7.636131037313957e-11    -9.775025713729881e-11    3.9395974232556734e-11    -1.1300660876912824e-10    2.396065037241324e-09    2.330687409328346e-11    1.0598699496843703e-11    3.4267255767030746e-11    1.7690591819640785e-11    6.5164280044303115e-12
0_2    4.3757264567731445e-09    3.7583765802011543e-10    2.7204286004367177e-10    9.687676296166128e-11    2.9610352721626587e-10    2.0988688205074813e-08    5.543366526297452e-10    4.6306322939528617e-10    7.668498438179813e-10    2.5622283262692293e-10    3.080721911269747e-10
1_2    3.4142400762449387e-09    2.8045264016455003e-10    2.586974474219404e-10    9.533662087529305e-11    4.94832259180081e-10    1.9046914306729633e-08    5.042315536830555e-10    4.26206498517419e-10    6.785810582622048e-10    2.533467878564162e-10    2.980341335924746e-10
2_2    2.4643547534871113e-09    1.7062683638356067e-10    2.899102162490312e-10    8.55878200081272e-12    6.280745794978105e-10    1.600614319499874e-08    3.7163765995712805e-10    2.826471499134136e-10    6.572481374305293e-10    2.1681204551374095e-10    2.0992151462117936e-10
3_2    1.8127136364256055e-09    9.084222789493726e-11    3.027008566712948e-10    5.988618235785712e-11    5.939421557131468e-10    1.259516662212631e-08    2.573331314446004e-10    2.1067102641578788e-10    4.874856761022014e-10    1.1390304102762621e-10    5.4758305853136116e-11
4_2    1.3328784631921353e-09    7.214569819126298e-12    1.8102011104024614e-10    1.1006240624083557e-10    4.876162641680042e-10    9.384844436770196e-09    1.909357747961927e-10    1.7725916185753625e-10    2.9280229839213384e-10    9.531136413416412e-12    -3.579825601733001e-11
5_2    1.037283677050948e-09    -2.655047822940315e-11    1.3088261788098033e-10    1.1762076425243547e-10    3.9516138320346796e-10    7.310745213395827e-09    1.0363593446907638e-10    1.478925409785148e-10    2.7426423158030857e-10    2.3308963492887346e-11    -2.0120802843761187e-12
6_2    9.207133628215139e-10    1.5484074588563854e-11    -4.876519172175248e-13    3.347075785768703e-11    2.4493179385535257e-10    6.483348622651152e-09    3.4669812144017925e-11    1.1402636902400935e-10    1.9430080169485462e-10    6.333947295003722e-11    6.759486067060693e-11
7_2    9.257053833917514e-10    7.66032979094899e-11    -5.7016560940722175e-11    1.3875890829423568e-10    8.59091163425394e-11    6.095717770426348e-09    5.083886765500558e-11    1.5269436744756707e-10    1.7440113933489718e-10    5.6810842436078856e-11    1.0483056485361589e-10
8_2    9.617068074875754e-10    8.182100441728149e-11    -1.4453855694973891e-11    7.203413053222054e-11    8.537283410719622e-11    5.813184228669352e-09    7.921356420129915e-11    1.4391884177113417e-10    2.0634987159882404e-10    8.628429744638282e-12    8.85093540051322e-11
9_2    9.196229131454569e-10    1.6974933444941277e-11    4.142089775359862e-11    4.8754427157400065e-11    8.428968511870699e-11    5.585988077514638e-09    8.336054994116385e-11    1.2923493512769134e-10    1.8571579897685468e-10    1.1811448091978492e-11    5.235370584463791e-11
10_2    8.173320996169244e-10    -2.6672669955679068e-11    9.927196061140544e-11    4.546611270236275e-11    -2.0230664097903543e-11    5.421469510657851e-09    5.711601927253698e-11    1.1832798039403818e-10    1.005737799291143e-10    -4.205730582011309e-11    -1.7724413062925632e-11
11_2    7.525394871159999e-10    1.7956063504096864e-12    1.0150808655935371e-10    1.4101863487389628e-10    -7.837671264772907e-11    5.1161214896872274e-09    4.068331107339393e-11    8.293178891450684e-12    6.21252743778436e-11    -8.113402038658055e-11    -5.31737626622944e-11
