X_Y   CO J=1-0   C2H N=1-0 J=3/2-1/2 F=2-1   C3H2 J=2-1 K+=1-0 K-=2-1   CS J=2-1   HCN J=1-0 F=2-1   HCO+ J=1-0   HNC J=1-0   SO J=3-2 K=2-1
44_0   2.2864E-09   -3.9411E-11   3.6125E-11   -2.3666E-11   1.0940E-11   7.6112E-11   -7.4577E-12   8.6107E-11
0_1   1.7281E-08   1.4077E-10   9.5915E-11   4.3437E-10   4.2561E-10   6.9482E-10   2.2249E-10   2.5026E-10
1_1   1.5564E-08   2.1241E-10   4.9418E-11   3.8132E-10   3.2406E-10   5.7076E-10   2.2949E-10   2.4025E-10
2_1   1.3054E-08   2.4231E-10   -3.6146E-12   2.5238E-10   2.5779E-10   4.8822E-10   2.4268E-10   1.6275E-10
3_1   1.0365E-08   2.2394E-10   8.9087E-13   1.4729E-10   2.3439E-10   3.7432E-10   1.5780E-10   7.6747E-11
4_1   7.9506E-09   2.3757E-10   2.9199E-11   5.1990E-11   1.4045E-10   2.3796E-10   6.6514E-11   4.4355E-12
5_1   6.5569E-09   1.3964E-10   6.4162E-11   1.4425E-11   9.9020E-11   2.5727E-10   5.7352E-11   2.2326E-11
6_1   6.1596E-09   7.0089E-11   -2.9303E-11   3.1282E-11   9.0730E-11   1.4336E-10   8.2851E-11   8.5977E-11
7_1   5.9596E-09   7.3710E-11   9.5291E-11   3.8934E-11   4.0377E-11   1.1379E-10   9.8120E-11   8.0237E-11
8_1   5.6266E-09   7.6685E-11   7.4909E-11   2.5320E-11   3.0250E-11   1.9775E-10   7.8870E-11   4.0756E-11
9_1   5.2154E-09   5.9399E-11   3.2709E-11   5.5067E-11   1.4370E-11   1.5783E-10   1.0609E-10   3.7076E-11
10_1   4.9002E-09   1.6038E-10   4.3056E-11   9.1605E-11   3.8002E-12   1.0665E-10   5.9353E-11   -3.7090E-12
11_1   4.5942E-09   1.4091E-10   1.2786E-10   8.8505E-11   -1.6987E-11   1.3479E-10   1.4080E-11   7.2846E-12
12_1   4.0280E-09   7.6141E-11   3.5367E-11   5.0997E-11   1.2313E-11   1.0883E-10   7.0505E-11   4.0778E-11
13_1   3.5796E-09   8.8529E-11   -1.0658E-11   3.1957E-11   9.6203E-11   1.6079E-10   1.1570E-10   1.2225E-12
14_1   3.5652E-09   1.2860E-10   7.3837E-11   7.3077E-11   1.3587E-10   1.7787E-10   4.8749E-11   -4.7490E-13
15_1   3.6892E-09   1.1027E-10   4.8345E-11   1.0708E-10   4.7907E-11   1.4604E-10   2.5898E-11   2.8006E-11
16_1   3.9761E-09   2.0724E-10   3.7149E-11   1.4242E-10   7.2994E-11   1.8713E-10   1.2611E-10   5.0047E-11
17_1   4.4051E-09   1.2957E-10   2.6659E-11   1.3852E-10   1.6580E-10   2.0691E-10   5.1500E-11   7.4362E-11
18_1   4.6014E-09   1.4040E-10   6.7038E-11   9.8607E-11   5.4120E-11   2.1914E-10   5.2151E-11   5.7036E-11
19_1   4.3755E-09   1.0294E-10   3.7608E-11   8.7680E-11   -1.0945E-11   1.1870E-10   1.0045E-10   1.2145E-11
20_1   3.9168E-09   2.6879E-11   3.9130E-11   7.4232E-11   2.0892E-11   6.1239E-11   6.2152E-11   1.0346E-11
21_1   3.6368E-09   5.1113E-11   2.4110E-11   8.3219E-11   -4.3440E-12   1.0984E-10   3.3876E-11   1.4447E-11
22_1   3.4530E-09   2.0321E-10   1.2667E-11   4.1112E-11   -8.5902E-11   2.0275E-10   3.7402E-11   3.9722E-11
23_1   3.3600E-09   1.9015E-10   4.5142E-11   8.6976E-12   -3.5939E-12   1.5599E-10   3.0477E-11   5.2506E-11
24_1   3.2996E-09   1.0329E-10   -4.9473E-11   3.3141E-11   6.0414E-11   1.4100E-10   -6.1943E-11   5.2176E-12
25_1   3.0655E-09   1.3070E-10   -9.8658E-13   3.5461E-11   3.1081E-11   2.0559E-10   -5.5020E-11   -3.3448E-11
26_1   2.8726E-09   1.1104E-10   7.4678E-11   9.5057E-11   9.6072E-12   1.0675E-10   2.2298E-11   -3.3436E-11
27_1   2.8306E-09   6.3427E-11   -6.2948E-12   1.1895E-10   4.7759E-11   -1.7378E-11   6.6200E-12   -1.1538E-11
28_1   2.7455E-09   1.9728E-11   -3.1195E-11   6.6063E-11   5.1792E-12   -2.9581E-11   4.4141E-11   1.2304E-11
29_1   2.6797E-09   2.3110E-13   -4.7517E-11   -3.0350E-12   2.6384E-11   -2.2754E-11   8.2045E-11   -2.1718E-12
30_1   2.8439E-09   -3.1753E-11   3.4086E-11   -2.8832E-11   1.6295E-11   -2.5790E-11   2.3186E-11   -2.3039E-12
31_1   2.9991E-09   -4.3441E-11   2.1921E-10   3.9783E-11   3.3810E-11   -2.4764E-11   -1.5593E-11   6.9141E-11
32_1   2.8278E-09   -3.5911E-11   2.6619E-11   1.0148E-10   8.7874E-11   -6.7246E-11   2.6459E-11   9.6770E-11
33_1   2.5323E-09   -3.1931E-11   -4.9489E-11   9.8548E-11   1.1056E-10   -8.6927E-11   5.0121E-11   4.3815E-11
34_1   2.3779E-09   -1.1820E-10   1.1642E-11   8.4466E-11   4.2503E-11   -8.0099E-11   2.6168E-11   3.1611E-11
35_1   2.4170E-09   -6.4009E-11   2.2172E-11   5.1258E-11   -8.7377E-11   -7.5336E-11   1.1911E-11   4.9266E-11
36_1   2.4783E-09   -3.1585E-11   9.9664E-11   2.5719E-11   -1.3017E-10   -5.7431E-11   6.0909E-11   3.8938E-11
37_1   2.3320E-09   8.2233E-12   9.1179E-11   3.9614E-11   6.9694E-11   7.6912E-11   5.8555E-11   7.4120E-11
38_1   2.2954E-09   4.2607E-12   1.4822E-10   6.6386E-11   1.2579E-10   7.0149E-11   1.0248E-10   9.2615E-11
39_1   2.4386E-09   -1.5746E-11   5.0875E-11   7.8372E-11   1.0885E-10   3.9046E-11   -4.3640E-13   7.2577E-11
40_1   2.4702E-09   -3.8524E-11   -3.5294E-11   2.7662E-11   1.0955E-10   3.6085E-11   -5.3666E-11   3.1922E-11
41_1   2.4308E-09   -1.0164E-10   3.5616E-11   4.4434E-12   -1.3928E-12   5.2472E-11   -4.6214E-11   8.8199E-12
42_1   2.3837E-09   -5.3565E-11   -3.2217E-11   1.0467E-12   3.2214E-11   1.1555E-10   4.5725E-12   2.4410E-11
43_1   2.3188E-09   -1.3919E-10   6.3551E-11   4.5222E-12   1.9170E-11   7.3481E-11   -8.5505E-12   1.2388E-11
44_1   2.3961E-09   -9.7750E-11   3.9396E-11   2.3307E-11   1.0599E-11   3.4267E-11   1.7691E-11   6.5164E-12
0_2   2.0989E-08   2.7204E-10   9.6877E-11   5.5434E-10   4.6306E-10   7.6685E-10   2.5622E-10   3.0807E-10
1_2   1.9047E-08   2.5870E-10   9.5337E-11   5.0423E-10   4.2621E-10   6.7858E-10   2.5335E-10   2.9803E-10
2_2   1.6006E-08   2.8991E-10   8.5588E-12   3.7164E-10   2.8265E-10   6.5725E-10   2.1681E-10   2.0992E-10
3_2   1.2595E-08   3.0270E-10   5.9886E-11   2.5733E-10   2.1067E-10   4.8749E-10   1.1390E-10   5.4758E-11
4_2   9.3848E-09   1.8102E-10   1.1006E-10   1.9094E-10   1.7726E-10   2.9280E-10   9.5311E-12   -3.5798E-11
5_2   7.3107E-09   1.3088E-10   1.1762E-10   1.0364E-10   1.4789E-10   2.7426E-10   2.3309E-11   -2.0121E-12
6_2   6.4833E-09   -4.8765E-13   3.3471E-11   3.4670E-11   1.1403E-10   1.9430E-10   6.3339E-11   6.7595E-11
7_2   6.0957E-09   -5.7017E-11   1.3876E-10   5.0839E-11   1.5269E-10   1.7440E-10   5.6811E-11   1.0483E-10
8_2   5.8132E-09   -1.4454E-11   7.2034E-11   7.9214E-11   1.4392E-10   2.0635E-10   8.6284E-12   8.8509E-11
9_2   5.5860E-09   4.1421E-11   4.8754E-11   8.3361E-11   1.2923E-10   1.8572E-10   1.1811E-11   5.2354E-11
10_2   5.4215E-09   9.9272E-11   4.5466E-11   5.7116E-11   1.1833E-10   1.0057E-10   -4.2057E-11   -1.7724E-11
11_2   5.1161E-09   1.0151E-10   1.4102E-10   4.0683E-11   8.2932E-12   6.2125E-11   -8.1134E-11   -5.3174E-11
12_2   4.5022E-09   1.4391E-10   6.6165E-11   2.7533E-11   2.3017E-11   9.2800E-11   -1.4478E-11   -3.0625E-11
13_2   4.0570E-09   1.5958E-10   4.3409E-14   2.2943E-11   1.2487E-10   1.9495E-10   8.2978E-11   -4.4652E-11
14_2   4.0243E-09   9.8937E-11   3.2976E-11   7.4717E-11   1.0169E-10   1.6134E-10   1.0682E-10   -4.6833E-11
15_2   4.0421E-09   1.7070E-10   5.6843E-11   8.5576E-11   3.6469E-11   9.8926E-11   1.0791E-10   -7.6035E-12
16_2   4.1003E-09   2.9700E-10   6.8507E-11   9.3182E-11   7.2249E-11   1.6622E-10   1.2417E-10   4.3249E-11
17_2   4.4278E-09   2.0902E-10   9.0700E-11   9.5362E-11   1.6251E-10   2.2358E-10   2.3400E-11   5.4777E-11
18_2   4.7879E-09   2.0368E-10   4.1787E-11   6.7497E-11   8.2059E-11   2.1699E-10   -1.4921E-11   1.9711E-11
19_2   4.7399E-09   1.3432E-10   5.8111E-11   9.2783E-11   4.7075E-11   5.0855E-11   5.3155E-11   -2.8179E-11
20_2   4.3196E-09   1.1287E-11   4.3986E-11   1.1014E-10   3.6935E-12   2.8733E-11   1.0802E-10   -4.8543E-11
21_2   3.9934E-09   5.4599E-11   1.1780E-11   1.0355E-10   8.1851E-11   2.9922E-11   3.0073E-11   -4.2450E-11
22_2   3.8068E-09   1.6051E-10   1.3667E-10   5.6568E-11   -5.1315E-12   1.2004E-10   -1.2579E-11   -4.2410E-12
23_2   3.7893E-09   1.6961E-10   7.9694E-11   5.0471E-12   -5.7576E-11   1.2411E-10   -4.5581E-12   3.6983E-12
24_2   3.7282E-09   4.7741E-11   1.2223E-10   1.0499E-11   5.5350E-11   1.1932E-10   -4.0463E-11   -1.7863E-11
25_2   3.3423E-09   8.0794E-11   -3.4705E-12   2.2342E-11   7.2880E-11   1.7252E-10   -5.4109E-11   -1.8542E-11
26_2   3.1258E-09   1.2177E-10   2.7279E-11   6.3725E-11   4.7311E-11   1.2464E-10   4.2110E-11   -3.1356E-11
27_2   3.2006E-09   4.4008E-11   5.3555E-11   1.0033E-10   2.7089E-11   1.7247E-11   9.5956E-11   -7.0580E-13
28_2   3.1626E-09   4.4495E-11   -1.8545E-11   8.5837E-11   -1.7695E-11   7.2621E-11   8.0201E-11   5.2100E-11
29_2   3.0464E-09   1.5631E-10   7.6709E-11   -3.7841E-12   -8.6819E-12   -1.1490E-11   3.9128E-11   4.7962E-11
30_2   3.0817E-09   2.0189E-10   4.5771E-11   -4.7042E-11   -4.1913E-11   -9.1400E-11   -5.6008E-12   1.9577E-11
31_2   3.1161E-09   1.1193E-10   1.1992E-10   6.0201E-11   -1.4735E-11   -2.9577E-11   -2.9673E-11   5.1016E-11
32_2   2.8920E-09   -3.9438E-11   2.6667E-11   1.4611E-10   7.9691E-11   -2.0728E-11   1.4049E-11   5.8348E-11
