X_Y   CO J=1-0   C2H N=1-0 J=3/2-1/2 F=2-1   C3H2 J=2-1 K+=1-0 K-=2-1   CS J=2-1   HCN J=1-0 F=2-1   HCO+ J=1-0   HNC J=1-0   SO J=3-2 K=2-1
1_10   1.3198E-10   3.2806E-11   4.3175E-11   3.4295E-11   3.8900E-11   3.5383E-11   3.9242E-11   4.5929E-11
2_10   1.1637E-10   4.2688E-11   3.7699E-11   3.1367E-11   3.7254E-11   3.2326E-11   3.3428E-11   4.1659E-11
3_10   1.7288E-10   4.9282E-11   3.6560E-11   3.2437E-11   2.7161E-11   2.7201E-11   3.0047E-11   3.7510E-11
4_10   2.4307E-10   3.9274E-11   3.6401E-11   2.7758E-11   1.9826E-11   3.3210E-11   3.0227E-11   3.5866E-11
5_10   2.4193E-10   3.1951E-11   3.0072E-11   3.4393E-11   3.1499E-11   3.0727E-11   3.3745E-11   3.6911E-11
6_10   1.9539E-10   4.1579E-11   3.4699E-11   3.6914E-11   3.1877E-11   2.9547E-11   2.7667E-11   3.1583E-11
7_10   1.3901E-10   4.4045E-11   3.5938E-11   3.9023E-11   2.4431E-11   3.9226E-11   3.5688E-11   3.9569E-11
8_10   1.5221E-10   3.6523E-11   3.2813E-11   3.7742E-11   2.9480E-11   4.1306E-11   3.6859E-11   3.6917E-11
9_10   1.4899E-10   4.5573E-11   3.7151E-11   3.5951E-11   4.0569E-11   3.4800E-11   3.8172E-11   3.8947E-11
10_10   1.6138E-10   3.0294E-11   3.4213E-11   2.6486E-11   2.6964E-11   2.5307E-11   3.0696E-11   4.1542E-11
11_10   1.8720E-10   3.4540E-11   3.8944E-11   2.7660E-11   2.7502E-11   2.3032E-11   2.4886E-11   3.6035E-11
12_10   1.7797E-10   4.0096E-11   2.9511E-11   3.5225E-11   2.9027E-11   3.0546E-11   3.7368E-11   3.7585E-11
13_10   1.9904E-10   5.0689E-11   3.3959E-11   3.9021E-11   1.8437E-11   3.9124E-11   4.1011E-11   4.0208E-11
14_10   1.9391E-10   4.0701E-11   3.8515E-11   3.6076E-11   2.5662E-11   3.1795E-11   3.9309E-11   3.8864E-11
15_10   1.7034E-10   4.2092E-11   4.7894E-11   3.5094E-11   3.9330E-11   2.7471E-11   3.6600E-11   3.6354E-11
16_10   1.6099E-10   4.5687E-11   3.9440E-11   3.7233E-11   3.5969E-11   2.8752E-11   3.5748E-11   3.7444E-11
17_10   1.6913E-10   5.1654E-11   3.9542E-11   3.8747E-11   3.0364E-11   3.1895E-11   3.1431E-11   4.4237E-11
18_10   1.9302E-10   4.3833E-11   3.5570E-11   3.5377E-11   3.5243E-11   4.2111E-11   3.0086E-11   4.8507E-11
19_10   1.8541E-10   4.7015E-11   3.6480E-11   3.4942E-11   3.3535E-11   4.0588E-11   3.5091E-11   4.6843E-11
20_10   1.4300E-10   5.8371E-11   4.6019E-11   3.4960E-11   3.9455E-11   4.1636E-11   4.3970E-11   3.6829E-11
21_10   1.4623E-10   4.8508E-11   4.4750E-11   3.1551E-11   3.1318E-11   4.2147E-11   4.9441E-11   3.0416E-11
22_10   1.7438E-10   4.1698E-11   4.6755E-11   3.2960E-11   2.9521E-11   5.2333E-11   4.7289E-11   3.4332E-11
23_10   2.2321E-10   3.9115E-11   3.8440E-11   3.4132E-11   2.6248E-11   3.9953E-11   3.7137E-11   3.6065E-11
24_10   2.1903E-10   4.8405E-11   4.8700E-11   3.1331E-11   2.7182E-11   4.3255E-11   4.3826E-11   4.1105E-11
25_10   1.8380E-10   5.0272E-11   4.4232E-11   3.0954E-11   1.7763E-11   4.8638E-11   4.2749E-11   4.4190E-11
26_10   1.6417E-10   5.0144E-11   3.7668E-11   3.6607E-11   2.1039E-11   4.3391E-11   4.0048E-11   3.9791E-11
27_10   1.6710E-10   4.0777E-11   4.3398E-11   3.8948E-11   3.3048E-11   4.2201E-11   3.7154E-11   3.1550E-11
28_10   1.8850E-10   5.0254E-11   4.3089E-11   3.4195E-11   4.1857E-11   4.1493E-11   3.4327E-11   3.3373E-11
29_10   1.9773E-10   4.2097E-11   4.1243E-11   2.9754E-11   3.0883E-11   3.7388E-11   4.1828E-11   3.2574E-11
30_10   1.8416E-10   4.7483E-11   3.9093E-11   2.8071E-11   3.5881E-11   4.0332E-11   4.7357E-11   3.5483E-11
31_10   1.5957E-10   5.2401E-11   4.6170E-11   3.2344E-11   3.8847E-11   4.4312E-11   4.5859E-11   3.5601E-11
32_10   1.5744E-10   4.5467E-11   3.9643E-11   3.6402E-11   2.9923E-11   4.8740E-11   3.8798E-11   3.1090E-11
33_10   1.4099E-10   4.6315E-11   4.5009E-11   3.5996E-11   3.9575E-11   4.4878E-11   4.4193E-11   2.7981E-11
34_10   1.1940E-10   4.3698E-11   4.3844E-11   3.7678E-11   5.0885E-11   4.8025E-11   3.6132E-11   3.3847E-11
35_10   1.0670E-10   5.0809E-11   4.7028E-11   3.2213E-11   4.9293E-11   4.6564E-11   3.8725E-11   3.4895E-11
36_10   1.0288E-10   6.1262E-11   5.1642E-11   2.9241E-11   5.1897E-11   4.0109E-11   4.4545E-11   3.6230E-11
37_10   1.0827E-10   5.6948E-11   5.2756E-11   2.8120E-11   4.2209E-11   3.6427E-11   4.9479E-11   3.5118E-11
38_10   1.3140E-10   5.2727E-11   4.5516E-11   2.6107E-11   3.6639E-11   4.2973E-11   5.4540E-11   3.1425E-11
39_10   1.4434E-10   5.3851E-11   5.0656E-11   2.7441E-11   2.5085E-11   5.1993E-11   4.8410E-11   3.0150E-11
40_10   1.3869E-10   4.9983E-11   4.7662E-11   2.5755E-11   3.9187E-11   4.2537E-11   3.5636E-11   2.4138E-11
41_10   1.1598E-10   6.4259E-11   4.8253E-11   2.6423E-11   3.7109E-11   3.5200E-11   3.9558E-11   2.8011E-11
42_10   1.1926E-10   5.8213E-11   5.6833E-11   2.7710E-11   2.5348E-11   4.2749E-11   4.3068E-11   3.2475E-11
43_10   1.6512E-10   5.4713E-11   6.0333E-11   2.5858E-11   5.5545E-11   4.8173E-11   4.3373E-11   3.0765E-11
44_10   1.5773E-10   5.4825E-11   5.4251E-11   2.7925E-11   4.4790E-11   4.9433E-11   4.8592E-11   3.0037E-11
0_11   1.2363E-10   3.1819E-11   3.7864E-11   3.3978E-11   2.0675E-11   4.0049E-11   3.5364E-11   3.7106E-11
1_11   1.1764E-10   3.5174E-11   4.0506E-11   3.2339E-11   3.3913E-11   4.3367E-11   3.5684E-11   3.8076E-11
2_11   1.0628E-10   3.8568E-11   3.5476E-11   3.5530E-11   3.4950E-11   3.3137E-11   2.5795E-11   3.6905E-11
3_11   1.4538E-10   4.5374E-11   4.4292E-11   3.5515E-11   2.5036E-11   3.2138E-11   2.3956E-11   3.2474E-11
4_11   2.0978E-10   4.0316E-11   3.4946E-11   3.0645E-11   2.4959E-11   2.8958E-11   2.7070E-11   3.4202E-11
5_11   2.3848E-10   3.3607E-11   3.6223E-11   3.3054E-11   2.5430E-11   2.5665E-11   3.2608E-11   3.7879E-11
6_11   2.0966E-10   3.2941E-11   4.2291E-11   3.4257E-11   3.5550E-11   2.5600E-11   3.3075E-11   3.3939E-11
7_11   1.3288E-10   3.7585E-11   3.6603E-11   3.8432E-11   3.0207E-11   4.8826E-11   3.3393E-11   3.5616E-11
8_11   1.5704E-10   3.9441E-11   3.3889E-11   3.6863E-11   2.5736E-11   3.9892E-11   3.4050E-11   3.2308E-11
9_11   1.6648E-10   4.6683E-11   3.5949E-11   3.0659E-11   1.8585E-11   3.5031E-11   3.3387E-11   2.7944E-11
10_11   1.6533E-10   3.5500E-11   3.2167E-11   2.5692E-11   1.1231E-11   2.4845E-11   3.2915E-11   3.2121E-11
11_11   1.8724E-10   3.2327E-11   3.3626E-11   2.9678E-11   2.8848E-11   2.3971E-11   2.8714E-11   3.0546E-11
12_11   1.8369E-10   4.4745E-11   2.9282E-11   3.3539E-11   1.4976E-11   3.0659E-11   3.3740E-11   3.7661E-11
13_11   1.7716E-10   4.3854E-11   3.2895E-11   3.5215E-11   2.0740E-11   3.7047E-11   3.6914E-11   4.1348E-11
14_11   1.4991E-10   4.7363E-11   2.8201E-11   3.8989E-11   2.7950E-11   4.0305E-11   3.8197E-11   3.6546E-11
15_11   1.3986E-10   4.2071E-11   3.0976E-11   3.5797E-11   3.8069E-11   2.9941E-11   3.7490E-11   3.7009E-11
16_11   1.4553E-10   3.8468E-11   3.4583E-11   3.3451E-11   4.8123E-11   3.1736E-11   3.7019E-11   3.8262E-11
17_11   1.5043E-10   4.3192E-11   4.4084E-11   3.4546E-11   3.2892E-11   3.2935E-11   3.0099E-11   3.9689E-11
18_11   1.6289E-10   4.7632E-11   3.2525E-11   3.4329E-11   4.3249E-11   3.6046E-11   3.2396E-11   4.3951E-11
19_11   1.5732E-10   5.3725E-11   3.7682E-11   3.6684E-11   3.1534E-11   3.8899E-11   3.6900E-11   4.5082E-11
20_11   1.2155E-10   4.1123E-11   4.7505E-11   3.6111E-11   3.7300E-11   4.1305E-11   4.6994E-11   3.9006E-11
21_11   1.3015E-10   4.1941E-11   4.6564E-11   2.9118E-11   2.9717E-11   3.7142E-11   4.8255E-11   4.0377E-11
22_11   1.5420E-10   4.7506E-11   4.7460E-11   3.2446E-11   3.8116E-11   4.7529E-11   4.3702E-11   4.3569E-11
23_11   1.9743E-10   4.4736E-11   4.2030E-11   4.0631E-11   2.1541E-11   4.6847E-11   4.4165E-11   3.9767E-11
24_11   1.9809E-10   3.9468E-11   3.7865E-11   3.9056E-11   3.3543E-11   3.9180E-11   4.5885E-11   3.9014E-11
25_11   1.5165E-10   4.3952E-11   3.8489E-11   3.5474E-11   3.1168E-11   4.5730E-11   4.0613E-11   3.9464E-11
26_11   1.2105E-10   4.5373E-11   4.7474E-11   3.3967E-11   2.9996E-11   4.5778E-11   3.5670E-11   3.6631E-11
27_11   1.4887E-10   4.5837E-11   5.5900E-11   3.3484E-11   2.8659E-11   3.3580E-11   3.2994E-11   3.1792E-11
28_11   1.9830E-10   4.1258E-11   5.3799E-11   2.5895E-11   3.1668E-11   2.6340E-11   3.4337E-11   2.9979E-11
29_11   2.1620E-10   4.1545E-11   4.8313E-11   2.8341E-11   3.2784E-11   2.6360E-11   3.3556E-11   3.2871E-11
30_11   1.7542E-10   4.8108E-11   4.2383E-11   2.9180E-11   3.0905E-11   3.3706E-11   3.9467E-11   3.9539E-11
31_11   1.4558E-10   6.0717E-11   4.0923E-11   3.0977E-11   4.6246E-11   3.3429E-11   3.5895E-11   3.8744E-11
32_11   1.4226E-10   5.8838E-11   3.8443E-11   3.1082E-11   2.3058E-11   5.5553E-11   3.9891E-11   3.5652E-11
33_11   1.2335E-10   5.0844E-11   4.7423E-11   3.4844E-11   3.5685E-11   4.5095E-11   3.1898E-11   3.4526E-11
34_11   1.1161E-10   4.4206E-11   4.8338E-11   3.4034E-11   4.0094E-11   4.3002E-11   3.2496E-11   3.6741E-11
35_11   1.0375E-10   5.1584E-11   4.6441E-11   3.2031E-11   4.0798E-11   4.3407E-11   3.5794E-11   3.4438E-11
36_11   1.1224E-10   5.6594E-11   4.3907E-11   3.1677E-11   3.1425E-11   5.1383E-11   4.1808E-11   3.4616E-11
37_11   1.2498E-10   5.8304E-11   4.8023E-11   2.7579E-11   3.3217E-11   4.6985E-11   4.3272E-11   2.8644E-11
38_11   1.3001E-10   5.0682E-11   5.3595E-11   2.5145E-11   4.5724E-11   4.1337E-11   4.2931E-11   2.6522E-11
39_11   1.3393E-10   5.8571E-11   4.4308E-11   3.0514E-11   4.3808E-11   5.7600E-11   4.5694E-11   2.3850E-11
40_11   1.4015E-10   4.5477E-11   4.0230E-11   2.9270E-11   3.5407E-11   4.6292E-11   3.7732E-11   2.3497E-11
41_11   1.1447E-10   5.5345E-11   3.6961E-11   2.6626E-11   4.3001E-11   3.4332E-11   3.7930E-11   2.7598E-11
42_11   1.0545E-10   5.2708E-11   5.0744E-11   2.8914E-11   3.0791E-11   4.3858E-11   3.7862E-11   3.3504E-11
43_11   1.3066E-10   5.0671E-11   4.6494E-11   3.2402E-11   5.2701E-11   4.1963E-11   4.2342E-11   3.1253E-11
44_11   1.2644E-10   4.7773E-11   3.7874E-11   3.8262E-11   4.5113E-11   4.5419E-11   4.7868E-11   2.9918E-11
0_12   1.5409E-10   3.1471E-11   3.1493E-11   3.1617E-11   1.5904E-11   3.6221E-11   3.3913E-11   3.7879E-11
1_12   1.2764E-10   3.1099E-11   3.7176E-11   3.2026E-11   3.4406E-11   4.3949E-11   3.2732E-11   3.7287E-11
2_12   9.8429E-11   3.5282E-11   3.1675E-11   3.3755E-11   4.3534E-11   3.4812E-11   3.0660E-11   3.7340E-11
3_12   1.3110E-10   3.7170E-11   3.2724E-11   3.0475E-11   2.9000E-11   4.7318E-11   3.5311E-11   3.8196E-11
4_12   1.9009E-10   3.2935E-11   4.4096E-11   2.8641E-11   2.8857E-11   3.6801E-11   3.2700E-11   3.6751E-11
5_12   2.2232E-10   4.2860E-11   4.1938E-11   3.4171E-11   2.2898E-11   3.2466E-11   3.7790E-11   4.0051E-11
6_12   2.0395E-10   4.4695E-11   4.3465E-11   3.4553E-11   2.9365E-11   2.5090E-11   3.6315E-11   3.4801E-11
7_12   1.4768E-10   3.5083E-11   3.6026E-11   3.8479E-11   1.6659E-11   3.2872E-11   3.8599E-11   3.9567E-11
8_12   1.5034E-10   4.1754E-11   4.1776E-11   3.8616E-11   3.0802E-11   3.6514E-11   3.9367E-11   3.7648E-11
9_12   1.4894E-10   4.3836E-11   3.5329E-11   3.1562E-11   2.2403E-11   3.4371E-11   2.9972E-11   3.1926E-11
10_12   1.4000E-10   3.0524E-11   3.3044E-11   2.6631E-11   1.8975E-11   2.8032E-11   3.2029E-11   3.5112E-11
11_12   1.5151E-10   3.3486E-11   3.6748E-11   3.1582E-11   2.4584E-11   2.9495E-11   3.1172E-11   3.0432E-11
12_12   1.6473E-10   4.4959E-11   3.2279E-11   3.4420E-11   1.9334E-11   3.3506E-11   3.0916E-11   3.4545E-11
13_12   1.6731E-10   4.7042E-11   3.7118E-11   3.2928E-11   3.6747E-11   3.5172E-11   3.2426E-11   3.6353E-11
14_12   1.3888E-10   4.1300E-11   3.1224E-11   3.9129E-11   4.1367E-11   3.4159E-11   3.1165E-11   3.2362E-11
15_12   1.3450E-10   3.3717E-11   3.0889E-11   3.6081E-11   2.9636E-11   3.1381E-11   3.3329E-11   4.0932E-11
16_12   1.3674E-10   3.7773E-11   3.3154E-11   3.4069E-11   3.3958E-11   3.1531E-11   3.6665E-11   4.4351E-11
17_12   1.3593E-10   3.6005E-11   3.5928E-11   3.6430E-11   2.6485E-11   2.7302E-11   3.1925E-11   4.0349E-11
18_12   1.2552E-10   5.0088E-11   3.1347E-11   4.0665E-11   2.1563E-11   3.3307E-11   4.0770E-11   4.1838E-11
19_12   1.1969E-10   4.6957E-11   3.9636E-11   3.8068E-11   2.3675E-11   4.5679E-11   3.9514E-11   4.1757E-11
20_12   1.1656E-10   4.0096E-11   4.1070E-11   3.2624E-11   3.1556E-11   4.1761E-11   4.2775E-11   3.9876E-11
21_12   1.2947E-10   4.6524E-11   4.1994E-11   2.9262E-11   2.4505E-11   3.0800E-11   4.2745E-11   4.3592E-11
22_12   1.4553E-10   4.7352E-11   5.3698E-11   3.5315E-11   3.2330E-11   3.6760E-11   4.0769E-11   4.6086E-11
23_12   1.5079E-10   4.6530E-11   4.6198E-11   4.2857E-11   2.8360E-11   3.8000E-11   4.1445E-11   4.4058E-11
24_12   1.5847E-10   4.5990E-11   4.4778E-11   3.9335E-11   3.3478E-11   4.2511E-11   4.2876E-11   3.9177E-11
25_12   1.3835E-10   4.1026E-11   3.7250E-11   3.6763E-11   4.6406E-11   4.8749E-11   4.1239E-11   3.5598E-11
26_12   1.1651E-10   4.3672E-11   4.2266E-11   3.4331E-11   2.7503E-11   3.4190E-11   3.5946E-11   3.4366E-11
27_12   1.2433E-10   4.6482E-11   4.6771E-11   3.3357E-11   1.1048E-11   3.1644E-11   3.4498E-11   3.2278E-11
28_12   1.6286E-10   4.1602E-11   4.6994E-11   2.9853E-11   2.6450E-11   3.8816E-11   3.6546E-11   3.0231E-11
29_12   1.9862E-10   4.0137E-11   3.6796E-11   3.3707E-11   2.7398E-11   3.6436E-11   3.5802E-11   3.2156E-11
30_12   1.5151E-10   5.5531E-11   4.7544E-11   3.4544E-11   2.6380E-11   3.2076E-11   4.0388E-11   3.8485E-11
31_12   1.0929E-10   5.5430E-11   4.0365E-11   3.5103E-11   4.4493E-11   3.7886E-11   3.6882E-11   4.2514E-11
32_12   1.2835E-10   6.4845E-11   4.9869E-11   3.2243E-11   2.3917E-11   5.2800E-11   4.3797E-11   4.3390E-11
33_12   1.3854E-10   5.0442E-11   4.9580E-11   3.2802E-11   3.0140E-11   3.8161E-11   4.3298E-11   3.9584E-11
34_12   1.3250E-10   3.4385E-11   3.7785E-11   3.1994E-11   3.7067E-11   4.6361E-11   4.2122E-11   3.5323E-11
35_12   1.1729E-10   5.6594E-11   4.9325E-11   3.4022E-11   4.8403E-11   3.7417E-11   4.2638E-11   3.0715E-11
36_12   1.2630E-10   5.3721E-11   5.1022E-11   3.2894E-11   4.5679E-11   4.1760E-11   4.3424E-11   3.1467E-11
37_12   1.4626E-10   6.4383E-11   4.5310E-11   3.0880E-11   3.8089E-11   3.7710E-11   4.6988E-11   2.6537E-11
38_12   1.3865E-10   5.5595E-11   5.5041E-11   2.9847E-11   3.7945E-11   3.2386E-11   3.7636E-11   2.8878E-11
39_12   1.4458E-10   6.1884E-11   5.2052E-11   2.9532E-11   3.8324E-11   4.1606E-11   5.5858E-11   2.8009E-11
40_12   1.5728E-10   5.1670E-11   4.9309E-11   2.8110E-11   3.3525E-11   3.1972E-11   4.7188E-11   2.7636E-11
41_12   1.1939E-10   5.2902E-11   4.7696E-11   2.7493E-11   3.5842E-11   3.9489E-11   4.7670E-11   3.0748E-11
42_12   1.0813E-10   5.1396E-11   5.0788E-11   3.0482E-11   3.1947E-11   4.2281E-11   4.2891E-11   3.5660E-11
43_12   1.1419E-10   6.1495E-11   5.5776E-11   3.3627E-11   4.4148E-11   3.8675E-11   4.5974E-11   3.5618E-11
44_12   9.2817E-11   4.8134E-11   4.5110E-11   3.5028E-11   5.2763E-11   4.7212E-11   4.8107E-11   3.2204E-11
0_13   1.5653E-10   4.2902E-11   4.2018E-11   2.4912E-11   2.1608E-11   3.1558E-11   3.4151E-11   4.0633E-11
1_13   1.3919E-10   4.0983E-11   4.2917E-11   2.9580E-11   4.1962E-11   3.7656E-11   3.0929E-11   3.9145E-11
2_13   1.2110E-10   3.6097E-11   3.5784E-11   3.8846E-11   5.3496E-11   3.1714E-11   3.6139E-11   3.8146E-11
3_13   1.6043E-10   3.0033E-11   3.6265E-11   3.9434E-11   4.7095E-11   4.0394E-11   3.0796E-11   4.2926E-11
4_13   1.8557E-10   2.9824E-11   3.6970E-11   3.6083E-11   2.8333E-11   3.7122E-11   3.3498E-11   4.2674E-11
5_13   1.7460E-10   4.1411E-11   5.0003E-11   3.5033E-11   2.3202E-11   4.3844E-11   3.7887E-11   4.1200E-11
6_13   1.5213E-10   3.8149E-11   3.1798E-11   3.3577E-11   2.8252E-11   4.1557E-11   3.8003E-11   3.7490E-11
7_13   1.4085E-10   4.1382E-11   3.7197E-11   3.6876E-11   1.8938E-11   3.6071E-11   3.7276E-11   4.3053E-11
8_13   1.2776E-10   3.7856E-11   4.1602E-11   3.5770E-11   2.5195E-11   2.9072E-11   3.8533E-11   4.1990E-11
9_13   1.2194E-10   2.9899E-11   3.3755E-11   2.8395E-11   1.6646E-11   4.0812E-11   3.1686E-11   3.7485E-11
10_13   1.0329E-10   3.8597E-11   3.2399E-11   2.6429E-11   2.2402E-11   3.7069E-11   3.1483E-11   3.7361E-11
11_13   1.0993E-10   3.2530E-11   3.2585E-11   3.5210E-11   2.4061E-11   3.2437E-11   3.6315E-11   3.1492E-11
12_13   1.4990E-10   3.7082E-11   3.2639E-11   3.4518E-11   3.1015E-11   2.7489E-11   3.4261E-11   3.4135E-11
13_13   1.6735E-10   3.8237E-11   3.4453E-11   3.4401E-11   2.8762E-11   2.9693E-11   3.3473E-11   3.3522E-11
14_13   1.4294E-10   4.0013E-11   3.3069E-11   4.1319E-11   4.0216E-11   3.2795E-11   3.3922E-11   2.5927E-11
15_13   1.2910E-10   3.8262E-11   4.0753E-11   3.7093E-11   3.4203E-11   3.7942E-11   3.6660E-11   3.3114E-11
16_13   1.3371E-10   3.8991E-11   4.7481E-11   3.3378E-11   2.8124E-11   3.5431E-11   3.6147E-11   4.6318E-11
17_13   1.4368E-10   3.6666E-11   4.6367E-11   3.5276E-11   1.9894E-11   3.0672E-11   2.8457E-11   4.4400E-11
18_13   1.3117E-10   3.4346E-11   4.0255E-11   4.4979E-11   1.8118E-11   3.6387E-11   3.0761E-11   3.7913E-11
19_13   1.3613E-10   4.3723E-11   3.9501E-11   4.1542E-11   2.0613E-11   4.1801E-11   3.1434E-11   3.5393E-11
20_13   1.4988E-10   3.9318E-11   5.2793E-11   3.2363E-11   2.5714E-11   4.8308E-11   3.9257E-11   3.7755E-11
21_13   1.4471E-10   5.4083E-11   3.8209E-11   3.1418E-11   3.0078E-11   4.1187E-11   3.6612E-11   4.3642E-11
22_13   1.3690E-10   5.1506E-11   4.6581E-11   3.4784E-11   4.7742E-11   3.5854E-11   3.5746E-11   4.8415E-11
23_13   1.2935E-10   5.1297E-11   5.0353E-11   3.4020E-11   3.6216E-11   3.7034E-11   3.6871E-11   4.9207E-11
24_13   1.4158E-10   4.4127E-11   4.3005E-11   3.0976E-11   2.4456E-11   4.8301E-11   3.9205E-11   4.3023E-11
25_13   1.3619E-10   4.8630E-11   4.9001E-11   3.2029E-11   2.5245E-11   4.8354E-11   4.0882E-11   4.0852E-11
26_13   1.2073E-10   5.4643E-11   4.6957E-11   3.2033E-11   3.2372E-11   5.0889E-11   4.0292E-11   3.6629E-11
27_13   1.0812E-10   4.6646E-11   5.0123E-11   2.9892E-11   4.0805E-11   3.9813E-11   3.5686E-11   3.0319E-11
28_13   1.2225E-10   4.4213E-11   4.8688E-11   2.9609E-11   3.3758E-11   3.8279E-11   3.0971E-11   3.4220E-11
29_13   1.7390E-10   4.0035E-11   3.9973E-11   2.8111E-11   3.5128E-11   3.3372E-11   3.3000E-11   3.6233E-11
30_13   1.5388E-10   5.6083E-11   3.8857E-11   3.0085E-11   3.9894E-11   2.7646E-11   3.4146E-11   3.7477E-11
31_13   1.2913E-10   4.7790E-11   3.9096E-11   3.2034E-11   4.3098E-11   3.2100E-11   3.8446E-11   3.7587E-11
32_13   1.5612E-10   6.4271E-11   4.4530E-11   3.4897E-11   3.4647E-11   4.8240E-11   4.3650E-11   3.8361E-11
33_13   1.6659E-10   5.0986E-11   4.2959E-11   3.7368E-11   3.7651E-11   4.1962E-11   4.2440E-11   3.6274E-11
34_13   1.5071E-10   4.1700E-11   3.7901E-11   3.1244E-11   4.9846E-11   5.2677E-11   4.7531E-11   3.3226E-11
35_13   1.2942E-10   5.9154E-11   5.9553E-11   3.3073E-11   6.5591E-11   4.4548E-11   4.1989E-11   3.0250E-11
36_13   1.4005E-10   5.4241E-11   5.7391E-11   2.9717E-11   3.9199E-11   3.8994E-11   4.8171E-11   2.8485E-11
37_13   1.6290E-10   5.6658E-11   5.0194E-11   3.1330E-11   5.5205E-11   4.1605E-11   4.1331E-11   2.8744E-11
38_13   1.4168E-10   5.9071E-11   5.8953E-11   3.6353E-11   5.0344E-11   4.4915E-11   3.8344E-11   3.0995E-11
39_13   1.3330E-10   6.2167E-11   5.4933E-11   3.6977E-11   3.6055E-11   3.5990E-11   4.8508E-11   2.8736E-11
40_13   1.4884E-10   5.3084E-11   4.2056E-11   3.3966E-11   4.6582E-11   3.2731E-11   4.2263E-11   2.9776E-11
41_13   1.3888E-10   5.6377E-11   4.7848E-11   2.7784E-11   4.1427E-11   4.4588E-11   4.5821E-11   3.2481E-11
42_13   1.3137E-10   4.5605E-11   5.5465E-11   2.8533E-11   3.3678E-11   4.2191E-11   4.5019E-11   3.4759E-11
43_13   1.1782E-10   5.6295E-11   5.3279E-11   2.9519E-11   4.3273E-11   3.7234E-11   4.4034E-11   3.5221E-11
44_13   8.8235E-11   6.6086E-11   4.8801E-11   2.6017E-11   6.2479E-11   3.7968E-11   4.8483E-11   3.1968E-11
0_14   1.6320E-10   3.8644E-11   3.2918E-11   3.2643E-11   1.3613E-11   3.5357E-11   3.0009E-11   4.3632E-11
1_14   1.6126E-10   3.7510E-11   3.9772E-11   3.3559E-11   3.1283E-11   3.9823E-11   3.0074E-11   4.4402E-11
2_14   1.5108E-10   3.6480E-11   4.0741E-11   4.2257E-11   4.2971E-11   4.4508E-11   3.4777E-11   4.5897E-11
3_14   1.8369E-10   3.7256E-11   4.0999E-11   4.0993E-11   3.0184E-11   3.5016E-11   3.4493E-11   4.3991E-11
4_14   1.9301E-10   3.4603E-11   4.0533E-11   3.8051E-11   2.3102E-11   3.8249E-11   3.9648E-11   3.8247E-11
5_14   1.4789E-10   3.8815E-11   3.8368E-11   3.3884E-11   3.2602E-11   4.2948E-11   3.3859E-11   3.7052E-11
6_14   1.0695E-10   3.6619E-11   4.0027E-11   3.2186E-11   2.9972E-11   3.9686E-11   3.3570E-11   3.2644E-11
7_14   1.1957E-10   4.3960E-11   3.7253E-11   4.0314E-11   2.1665E-11   3.3682E-11   3.4199E-11   3.0621E-11
8_14   1.1527E-10   3.9167E-11   3.2412E-11   4.0281E-11   3.3929E-11   2.9749E-11   3.0290E-11   3.7153E-11
9_14   1.1284E-10   3.4635E-11   3.5802E-11   3.2556E-11   2.9325E-11   2.9442E-11   2.9599E-11   4.0698E-11
10_14   1.0827E-10   3.4245E-11   2.9243E-11   3.5419E-11   3.3558E-11   3.5587E-11   2.7873E-11   3.5558E-11
11_14   1.2681E-10   3.2716E-11   3.9151E-11   4.4305E-11   2.9626E-11   3.2722E-11   3.2951E-11   3.1428E-11
12_14   1.6235E-10   3.2120E-11   3.2524E-11   3.9504E-11   2.2794E-11   2.9358E-11   2.9763E-11   3.4686E-11
13_14   1.6668E-10   3.4455E-11   3.4891E-11   3.7687E-11   3.0844E-11   3.0126E-11   3.0609E-11   3.9287E-11
14_14   1.5564E-10   3.9072E-11   3.8698E-11   3.9983E-11   4.1960E-11   3.8430E-11   3.0129E-11   3.6878E-11
15_14   1.5192E-10   4.8550E-11   4.1836E-11   3.6511E-11   3.3929E-11   4.1469E-11   3.0454E-11   3.8875E-11
16_14   1.2268E-10   4.2869E-11   4.7511E-11   3.5935E-11   2.3139E-11   2.8981E-11   2.6446E-11   4.4927E-11
17_14   1.2806E-10   3.9634E-11   4.3350E-11   3.6509E-11   1.8241E-11   2.8565E-11   2.8561E-11   4.1795E-11
18_14   1.5882E-10   3.7667E-11   4.6376E-11   4.1944E-11   3.1959E-11   3.6862E-11   2.6243E-11   3.8009E-11
19_14   1.7045E-10   3.8500E-11   4.5240E-11   3.5462E-11   3.5936E-11   4.1226E-11   3.1279E-11   3.2730E-11
20_14   1.8351E-10   4.6816E-11   5.1305E-11   2.7212E-11   2.9487E-11   4.6885E-11   4.0787E-11   3.9221E-11
21_14   1.5602E-10   5.2287E-11   4.3656E-11   3.1758E-11   4.0243E-11   5.7385E-11   4.6577E-11   4.2295E-11
22_14   1.4009E-10   5.0736E-11   4.2718E-11   3.5353E-11   4.6709E-11   4.7979E-11   3.7945E-11   4.1907E-11
23_14   1.4110E-10   4.6758E-11   4.4887E-11   3.2911E-11   2.7031E-11   3.9016E-11   3.7123E-11   4.1861E-11
24_14   1.3700E-10   5.2622E-11   4.4549E-11   3.0791E-11   2.5739E-11   3.4054E-11   3.6860E-11   3.6110E-11
