X_Y   CO J=1-0   C2H N=1-0 J=3/2-1/2 F=2-1   C3H2 J=2-1 K+=1-0 K-=2-1   CS J=2-1   HCN J=1-0 F=2-1   HCO+ J=1-0   HNC J=1-0   SO J=3-2 K=2-1
0_1   2.1391E-10   3.4318E-11   3.1018E-11   3.5270E-11   3.0913E-11   3.0341E-11   2.8047E-11   3.4823E-11
1_1   2.0464E-10   3.8148E-11   3.7420E-11   3.3229E-11   2.7831E-11   3.4194E-11   3.3084E-11   4.3091E-11
2_1   1.4497E-10   3.7969E-11   3.2292E-11   3.9887E-11   2.8022E-11   2.7735E-11   2.6645E-11   3.7617E-11
3_1   1.8357E-10   4.4726E-11   2.9333E-11   3.9664E-11   3.5102E-11   2.7371E-11   3.0922E-11   3.1452E-11
4_1   1.9813E-10   3.9993E-11   4.0064E-11   3.6008E-11   3.3753E-11   3.3463E-11   3.3082E-11   3.4377E-11
5_1   1.8521E-10   3.2052E-11   3.4175E-11   3.8126E-11   3.9334E-11   2.9759E-11   3.5596E-11   3.7848E-11
6_1   1.7861E-10   3.4966E-11   3.3584E-11   3.8038E-11   3.0719E-11   3.1265E-11   2.9539E-11   3.4722E-11
7_1   1.5548E-10   4.3185E-11   3.7683E-11   3.3456E-11   2.3509E-11   3.1340E-11   3.2472E-11   3.8507E-11
8_1   1.5634E-10   4.1618E-11   3.1567E-11   3.0915E-11   3.6967E-11   2.5928E-11   2.7502E-11   4.4520E-11
9_1   1.7158E-10   3.6352E-11   3.4030E-11   3.0909E-11   3.2070E-11   3.5156E-11   3.4464E-11   3.9431E-11
10_1   1.8795E-10   4.6245E-11   3.7611E-11   3.5277E-11   1.7432E-11   3.4371E-11   3.4503E-11   3.9665E-11
11_1   1.9459E-10   4.3039E-11   3.1892E-11   3.4046E-11   2.4120E-11   3.1586E-11   3.3602E-11   4.0469E-11
12_1   1.7576E-10   2.9763E-11   3.5161E-11   3.5282E-11   1.8464E-11   2.1091E-11   3.4416E-11   3.5701E-11
13_1   1.5707E-10   3.7866E-11   3.2339E-11   3.9027E-11   1.8711E-11   3.5925E-11   3.4309E-11   3.4534E-11
14_1   1.6098E-10   4.2404E-11   4.0263E-11   3.6559E-11   2.4691E-11   3.5444E-11   3.2403E-11   3.3276E-11
15_1   1.8596E-10   3.7965E-11   3.4120E-11   3.1023E-11   4.2822E-11   3.7915E-11   3.0548E-11   3.6938E-11
16_1   2.0871E-10   4.2898E-11   3.2038E-11   3.4699E-11   3.9835E-11   3.5245E-11   3.2059E-11   4.0766E-11
17_1   2.0403E-10   4.7953E-11   4.2398E-11   3.8633E-11   2.9560E-11   3.0884E-11   3.6197E-11   3.6710E-11
18_1   2.0992E-10   4.2681E-11   4.4669E-11   4.2877E-11   3.3880E-11   3.6919E-11   3.6018E-11   3.2714E-11
19_1   1.7284E-10   4.0775E-11   3.8642E-11   4.1243E-11   4.6755E-11   3.0975E-11   3.9931E-11   3.4390E-11
20_1   1.2190E-10   4.9184E-11   4.7019E-11   3.4283E-11   3.7991E-11   4.5872E-11   3.8465E-11   3.6110E-11
21_1   1.3504E-10   5.1849E-11   3.9503E-11   3.2975E-11   2.4918E-11   3.8775E-11   4.1916E-11   3.2688E-11
22_1   1.5399E-10   4.9772E-11   3.6062E-11   3.6257E-11   3.3397E-11   3.8453E-11   4.6524E-11   3.2695E-11
23_1   1.5955E-10   4.9239E-11   3.6200E-11   4.0431E-11   2.9874E-11   3.5504E-11   4.8143E-11   3.7299E-11
24_1   1.5805E-10   3.7867E-11   4.6726E-11   4.4032E-11   2.5400E-11   4.0128E-11   3.6009E-11   3.6930E-11
25_1   1.4366E-10   4.2929E-11   5.0241E-11   4.3212E-11   2.9535E-11   4.4114E-11   4.1920E-11   3.9117E-11
26_1   1.3777E-10   4.3790E-11   4.3887E-11   3.7180E-11   3.0481E-11   4.9633E-11   4.2857E-11   3.7019E-11
27_1   1.2859E-10   3.8529E-11   3.7366E-11   3.2932E-11   3.9620E-11   4.1970E-11   3.8753E-11   3.4551E-11
28_1   1.6263E-10   4.6762E-11   3.8546E-11   3.7657E-11   4.5476E-11   4.4823E-11   4.0805E-11   3.4585E-11
29_1   1.8685E-10   4.0233E-11   4.2534E-11   4.0641E-11   4.8324E-11   4.3741E-11   4.0965E-11   3.4056E-11
30_1   1.7886E-10   4.4446E-11   3.9715E-11   3.3045E-11   5.4425E-11   3.9396E-11   3.8704E-11   3.6452E-11
31_1   1.7766E-10   4.7082E-11   4.5498E-11   3.2765E-11   4.8739E-11   3.8888E-11   4.3085E-11   2.9809E-11
32_1   1.9046E-10   4.4011E-11   3.5703E-11   3.2372E-11   4.2846E-11   4.1109E-11   4.9284E-11   3.6639E-11
33_1   1.7799E-10   5.3378E-11   4.6992E-11   2.7961E-11   4.2593E-11   4.1296E-11   4.7542E-11   3.8567E-11
34_1   1.3716E-10   5.6898E-11   4.8972E-11   2.9780E-11   2.8036E-11   4.8158E-11   4.7868E-11   3.3480E-11
35_1   1.3733E-10   5.5103E-11   5.2802E-11   3.0962E-11   2.8336E-11   5.8705E-11   4.1491E-11   3.0338E-11
36_1   1.7483E-10   5.3705E-11   4.9228E-11   2.9155E-11   3.5985E-11   4.7655E-11   4.2626E-11   2.7779E-11
37_1   1.5480E-10   4.9591E-11   5.1283E-11   3.2098E-11   3.1040E-11   4.0120E-11   4.6246E-11   3.5865E-11
38_1   1.2661E-10   5.1670E-11   5.6147E-11   3.2021E-11   3.3390E-11   2.6206E-11   3.9179E-11   3.3216E-11
39_1   1.3230E-10   4.4709E-11   4.6058E-11   3.1523E-11   2.6045E-11   4.0545E-11   4.3167E-11   2.7187E-11
