X_Y    13CO J=1-0    C18O J=1-0    C2H N=1-0 J=3/2-1/2 F=2-1    C3H2 J=2-1 K+=1-0 K-=2-1    CN N=1-0 J=3/2-1/2    CO J=1-0    CS J=2-1    HCN J=1-0 F=2-1    HCO+ J=1-0    HNC J=1-0    SO J=3-2 K=2-1
1_1    6.112952720092723e-11    5.2633160294214074e-11    3.814809501710517e-11    3.74200548011368e-11    1.168037815754678e-10    2.0463920047145462e-10    3.322872942784328e-11    2.783126563125454e-11    3.4194451344527405e-11    3.3083760130130086e-11    4.309141842382845e-11
2_1    6.733939086288526e-11    5.6648790087207816e-11    3.796940071401983e-11    3.2292086142761035e-11    1.1661079722755706e-10    1.4496780358370361e-10    3.988709465841839e-11    2.802216638965551e-11    2.773478063001303e-11    2.6645000992934252e-11    3.761731596112576e-11
3_1    6.033742524656995e-11    5.381305382085977e-11    4.47264770107924e-11    2.933319783069871e-11    1.2726277607569306e-10    1.8357448234330023e-10    3.966433379130801e-11    3.5102488397892953e-11    2.7371377438998304e-11    3.092178937847547e-11    3.1452444065446654e-11
4_1    5.6388758814271237e-11    6.662005274422276e-11    3.9992775297941967e-11    4.006378861104137e-11    1.2280792422923884e-10    1.9813175123306292e-10    3.600771677151374e-11    3.375264884696911e-11    3.3463109158952175e-11    3.308219580868754e-11    3.4377460708178554e-11
5_1    5.4731491025909716e-11    7.490641374006086e-11    3.205175869588131e-11    3.417470273277059e-11    1.0077166211985111e-10    1.8521407326098385e-10    3.812625723664595e-11    3.933386415507154e-11    2.9758698514862546e-11    3.559555301935403e-11    3.784768897675693e-11
6_1    5.862919874938073e-11    6.76288532359049e-11    3.49661617922788e-11    3.3583751315870913e-11    9.412290392364534e-11    1.7860797333720395e-10    3.80376687607012e-11    3.071891684707512e-11    3.1265220432870645e-11    2.95393278534449e-11    3.472195447307158e-11
7_1    6.0573339537094e-11    6.166973882756756e-11    4.318504157304214e-11    3.7683308133783374e-11    9.407886929348099e-11    1.5547527750388304e-10    3.345587921886402e-11    2.3508961321872455e-11    3.1340353099525074e-11    3.247213460550156e-11    3.85068127113018e-11
8_1    5.5487110462573395e-11    5.926998769811842e-11    4.1618451726996495e-11    3.156702872340212e-11    9.32519203132699e-11    1.5634457310528018e-10    3.0914853125375704e-11    3.696723830730531e-11    2.5927676720877503e-11    2.750173575610002e-11    4.45198111936066e-11
9_1    5.787894386026954e-11    5.856040659849382e-11    3.6352324507564305e-11    3.402991789679709e-11    1.0013869374615175e-10    1.7157745935006276e-10    3.090914867322518e-11    3.206957641843883e-11    3.515626624096371e-11    3.4463558080812556e-11    3.9431411826541344e-11
10_1    6.064004144074908e-11    5.629368177739841e-11    4.624473942926883e-11    3.7611110585021344e-11    1.000564933546726e-10    1.8795267857967343e-10    3.527714476971127e-11    1.7432039753011352e-11    3.437134126724929e-11    3.450311910571077e-11    3.966524150880447e-11
11_1    6.924826222154747e-11    5.51377998540123e-11    4.3039235487013796e-11    3.1892328417197226e-11    9.446380550311601e-11    1.945943423297901e-10    3.404629863343974e-11    2.4120157699438274e-11    3.158573558045741e-11    3.3602426306024525e-11    4.0469387351735354e-11
12_1    7.290019818604374e-11    5.6501644182460945e-11    2.9763304088234364e-11    3.5160717025912555e-11    1.0007067645439235e-10    1.7576118279523427e-10    3.528187837350988e-11    1.8463609846926757e-11    2.1090579056393406e-11    3.44160606915302e-11    3.570067043931745e-11
13_1    5.725408639342782e-11    5.877710970608546e-11    3.7865857158698943e-11    3.2338812784859074e-11    1.0613301872425473e-10    1.5706732285927902e-10    3.902715854989134e-11    1.8710935821309032e-11    3.592490209840831e-11    3.430875065651242e-11    3.453402571476297e-11
14_1    4.232380473000092e-11    5.708520811453757e-11    4.2404012109151516e-11    4.026257920415296e-11    1.1263260983720112e-10    1.6098001117397682e-10    3.6559273528689414e-11    2.4691165265732125e-11    3.544437637623116e-11    3.2403455458308055e-11    3.327563553164093e-11
15_1    4.3777138838791965e-11    5.913518377586787e-11    3.7964812981733316e-11    3.412033721706381e-11    1.269938043672149e-10    1.859609453958491e-10    3.1023352609531605e-11    4.282185623977777e-11    3.791500354692144e-11    3.054795883266638e-11    3.693788642471844e-11
16_1    5.0819684516660045e-11    5.848315868267561e-11    4.2898485848954494e-11    3.2037706854809066e-11    1.2415126121303916e-10    2.0871445265720932e-10    3.469858234329131e-11    3.9834607684246514e-11    3.524526294080405e-11    3.2058972549137186e-11    4.0766243400956674e-11
17_1    5.776559645184908e-11    5.106364695894287e-11    4.795323649907457e-11    4.2397716329509526e-11    1.1348892127545267e-10    2.0402981637299054e-10    3.8632603481812974e-11    2.956014205864022e-11    3.0884302752916753e-11    3.619695911587144e-11    3.671015243026795e-11
18_1    6.25260618037229e-11    5.634648519952621e-11    4.268072480390619e-11    4.466945378340165e-11    1.1186762814197248e-10    2.0991999962826078e-10    4.287743970956298e-11    3.3879923828954893e-11    3.691855743755708e-11    3.6018185562289464e-11    3.2714161219715256e-11
19_1    5.282022943332964e-11    6.380635704810875e-11    4.0775445266721423e-11    3.864223260670219e-11    1.1203547054555244e-10    1.7283678111482455e-10    4.124289874350969e-11    4.6754557123601464e-11    3.0975442251037566e-11    3.993132659102593e-11    3.439009755960142e-11
20_1    4.855195458001471e-11    6.157459503712972e-11    4.9183671979718344e-11    4.701932480243939e-11    9.352398948030755e-11    1.218961923564767e-10    3.4283179886638694e-11    3.799147507557275e-11    4.587163057394638e-11    3.846474805931484e-11    3.61096454161785e-11
21_1    5.870242437418004e-11    5.938405893186216e-11    5.184893848734957e-11    3.9502523272035626e-11    8.299659729867524e-11    1.3504476505450462e-10    3.297545290129328e-11    2.491756900432009e-11    3.877471474684971e-11    4.1916154548903515e-11    3.268784995298655e-11
22_1    5.885722347080751e-11    5.8105936119154566e-11    4.977173971921775e-11    3.6061768337079747e-11    8.395853026242591e-11    1.539870950479227e-10    3.625697777736564e-11    3.339704893565053e-11    3.845323726470585e-11    4.652447036294284e-11    3.269464486863337e-11
23_1    6.076507044350493e-11    5.457876330953841e-11    4.923908695654748e-11    3.6200425285433063e-11    9.294853239857526e-11    1.595456670753128e-10    4.0430511225566564e-11    2.987356168047575e-11    3.550426566350117e-11    4.81433437408842e-11    3.72991391018956e-11
24_1    6.086244102521128e-11    6.195902016058516e-11    3.7867256203993744e-11    4.67257738023321e-11    1.0155772826983557e-10    1.5805116004255085e-10    4.403212882452595e-11    2.5399616067466126e-11    4.0128071496750236e-11    3.6009047267530534e-11    3.693011033453008e-11
25_1    5.240524528748589e-11    6.508073121389398e-11    4.292912281038483e-11    5.0241082704674986e-11    9.901346494080024e-11    1.4365718600508343e-10    4.3211733243845843e-11    2.9535416489948614e-11    4.4114054816682784e-11    4.191969994151653e-11    3.911651118805044e-11
26_1    4.864683608354346e-11    6.795224080861189e-11    4.3790288452481285e-11    4.388733865504684e-11    1.065348369887285e-10    1.377662082049888e-10    3.7179645625553945e-11    3.048079853077479e-11    4.963296009930646e-11    4.285671036604444e-11    3.7018917908407196e-11
27_1    5.790957659495365e-11    6.522294032564232e-11    3.85288483898743e-11    3.736603705204643e-11    1.0801589313877297e-10    1.285878488669399e-10    3.293230472394935e-11    3.9619652992942794e-11    4.196962698302985e-11    3.8752951635661055e-11    3.455063237582514e-11
28_1    6.398698894883196e-11    6.086098897754177e-11    4.6761782539360556e-11    3.8546488859618695e-11    9.645775369474976e-11    1.626305668102361e-10    3.7656722803543865e-11    4.5475715723333117e-11    4.482275647791139e-11    4.080492461854526e-11    3.4584663343400744e-11
29_1    5.7770610551571504e-11    6.221931625560588e-11    4.02328429484267e-11    4.253431066206895e-11    9.351860968386213e-11    1.8685404556018313e-10    4.064084638270558e-11    4.832384195395214e-11    4.374118225362623e-11    4.096542158260938e-11    3.405602454501158e-11
30_1    5.092940164499474e-11    5.999915939234721e-11    4.444597908181371e-11    3.971493672294868e-11    8.932869017010389e-11    1.7886092462747595e-10    3.3045308025311705e-11    5.442533289713532e-11    3.939566432759848e-11    3.870449994990023e-11    3.645215427625188e-11
31_1    5.4969490031730546e-11    5.6564588293192063e-11    4.7082028978567694e-11    4.5497833863691364e-11    6.894866270040246e-11    1.7765966819847584e-10    3.2764537533009066e-11    4.8738756677087744e-11    3.888818040669518e-11    4.308524625308237e-11    2.9809382711636015e-11
32_1    5.547902320495659e-11    6.14119663916543e-11    4.401137311782384e-11    3.5702777253325844e-11    7.352009491696681e-11    1.904624867707505e-10    3.2372148203561865e-11    4.284574616859255e-11    4.1109120253201036e-11    4.9283987746243113e-11    3.663872969036527e-11
33_1    4.9388159045908983e-11    6.237034896379559e-11    5.337815891034317e-11    4.699245083735746e-11    8.869718901361692e-11    1.7798943608236357e-10    2.796094648308379e-11    4.259302367874411e-11    4.1295851650660165e-11    4.754156921344789e-11    3.856738614190616e-11
34_1    5.917175489120874e-11    5.458013566430852e-11    5.689775207215768e-11    4.897238811617664e-11    8.717208011961536e-11    1.3715828606900147e-10    2.9780459911165785e-11    2.8035739680364923e-11    4.8158451844231114e-11    4.7867890290272355e-11    3.3480035616592194e-11
35_1    6.424363357638043e-11    5.112537529229373e-11    5.5102563906343596e-11    5.2801646329472146e-11    8.24927259258732e-11    1.373285411339577e-10    3.0962062780736176e-11    2.8335546962898666e-11    5.870456719087527e-11    4.1490580598468025e-11    3.033764370143736e-11
36_1    5.499786732012375e-11    5.551205665756037e-11    5.370481823229756e-11    4.922809851083278e-11    7.004929297520555e-11    1.7483099327850076e-10    2.915524506187135e-11    3.59854083103567e-11    4.765496481952161e-11    4.26264048026256e-11    2.7778729219248796e-11
37_1    4.959746625887375e-11    4.5771294339315754e-11    4.9590524293900676e-11    5.128293752365541e-11    7.333756222747025e-11    1.5479810284100745e-10    3.209759918324212e-11    3.10402633331627e-11    4.011950671919208e-11    4.624624462066256e-11    3.586482545126338e-11
38_1    5.43013837083225e-11    4.052080314539434e-11    5.1669938808895324e-11    5.6146561581726224e-11    8.527255912956397e-11    1.2660908265464854e-10    3.202055748355371e-11    3.338959846422545e-11    2.620584273238828e-11    3.9179498002128396e-11    3.321578388460737e-11
39_1    5.4760057016980636e-11    4.392247457180564e-11    4.470865161135099e-11    4.605788201953967e-11    9.383768414307445e-11    1.32303712537756e-10    3.1522621427659937e-11    2.6045347020128034e-11    4.0544704619899863e-11    4.316731575022997e-11    2.7187041498164858e-11
40_1    5.1694887535950916e-11    4.193566407163923e-11    4.1441923458504636e-11    5.1638085186700366e-11    9.282659034581245e-11    1.113292864834379e-10    3.3199690147258326e-11    3.3139172031608615e-11    3.4626860338849715e-11    4.418265700405633e-11    2.980475314670154e-11
41_1    4.8826481032738134e-11    4.522821947817472e-11    5.12579164186997e-11    5.085543042049249e-11    8.807840373963729e-11    1.008093541004131e-10    3.7264046240856465e-11    3.936866426059578e-11    3.75967081843797e-11    4.606441490240904e-11    2.968345403427089e-11
42_1    5.4293862558738875e-11    5.0312351800567736e-11    4.593977596201305e-11    4.868721349474392e-11    8.462584238717076e-11    9.189672233341143e-11    3.620933152748005e-11    2.031759796428067e-11    3.7178464754737866e-11    4.7131463321755035e-11    3.324702357978035e-11
43_1    6.18117412959557e-11    5.3483403152557637e-11    5.210818087030112e-11    4.5689075522836375e-11    8.352796540886499e-11    9.989511904375203e-11    2.9059515967575056e-11    4.0667217390294816e-11    5.113374008779055e-11    4.283232144718354e-11    3.4925119631444705e-11
44_1    5.476191708623251e-11    4.8577769054625954e-11    4.676876356232903e-11    5.3994323932404094e-11    8.117047339682868e-11    1.2293345473373624e-10    2.964443773793322e-11    5.5954811592419326e-11    4.8679716395992056e-11    3.892256877493072e-11    3.1351642478639407e-11
0_2    6.272313928600271e-11    5.5277927407518737e-11    3.173145544265204e-11    3.487674759568498e-11    8.337637107737776e-11    2.1352844083882824e-10    3.346148026704806e-11    2.3977645956707902e-11    2.8824098439700964e-11    3.9202980943319884e-11    4.018311558190749e-11
1_2    6.559196812377993e-11    5.934425143309425e-11    3.386835154453058e-11    3.416840695781833e-11    1.0354097120995674e-10    2.1427591682775995e-10    3.884328331884023e-11    2.4124609238968978e-11    2.9727390563938315e-11    2.8479793008903993e-11    4.4545936375508466e-11
2_2    7.062801127186735e-11    6.28889793312462e-11    5.21147073810926e-11    2.8410572997361782e-11    1.1367755831310454e-10    1.591799857653656e-10    4.201735998441584e-11    3.1714507567976546e-11    4.0117395998730176e-11    3.618583371009091e-11    4.005528094480076e-11
3_2    6.372821467677771e-11    5.994024945201415e-11    4.886201939346365e-11    2.8914702679681753e-11    1.2906009904707423e-10    1.86157579348973e-10    3.517942227672794e-11    4.277907460197216e-11    2.97084774821095e-11    3.4868838131452945e-11    3.6256539650701246e-11
4_2    5.657699422822332e-11    6.425904070311648e-11    4.051574126984011e-11    3.617356930827957e-11    1.2961104816722192e-10    2.1959361464620778e-10    3.581433412021177e-11    3.0628792695874527e-11    3.0463781798156456e-11    3.54834594222417e-11    3.8500694467752583e-11
5_2    4.7497888379765456e-11    6.721311263447377e-11    3.838069872543335e-11    3.51215692976618e-11    1.1303290654308433e-10    1.888606844049118e-10    4.059900224427217e-11    3.191880980328049e-11    3.4837444802197416e-11    3.254728847310589e-11    3.669543481214495e-11
6_2    5.661045750307332e-11    6.63319503468466e-11    4.220560334038918e-11    3.956289075986356e-11    1.0075481629259779e-10    1.7855314974432554e-10    3.9989987349725444e-11    4.2005803136896316e-11    2.963680280429691e-11    3.469653929828179e-11    3.358292360903372e-11
7_2    6.420888532615355e-11    6.247326636111915e-11    4.9124663515989855e-11    3.321304409472966e-11    1.0080040870893827e-10    1.7156083747233787e-10    3.6640905215556335e-11    2.798728818694651e-11    2.2953055695944303e-11    3.450955154716368e-11    3.558644255030682e-11
8_2    6.113031795500532e-11    5.399637831310321e-11    4.3507837541492086e-11    2.8994389202648902e-11    1.031076711736912e-10    1.516654986348317e-10    3.157153724846725e-11    2.965327295145366e-11    1.911265434780942e-11    2.5693380168524085e-11    3.937678747146182e-11
9_2    6.256326318876022e-11    5.4663047997466446e-11    2.978788325455576e-11    3.448466471958677e-11    1.0045742404330185e-10    1.5299041802028973e-10    3.235250719459649e-11    2.0051466187810768e-11    3.4340969988627306e-11    2.503955420405377e-11    3.553490269220555e-11
10_2    6.793547566429473e-11    5.672721693866747e-11    3.780557748122544e-11    3.509310040292531e-11    1.0076590193375804e-10    1.8834499303213204e-10    3.123366478801139e-11    2.374698592155112e-11    3.674984735857052e-11    2.6262056311770747e-11    3.261023566339074e-11
11_2    7.163733696581209e-11    6.011500823998781e-11    3.5453434354777573e-11    3.599532692541692e-11    1.0928284425856544e-10    2.0032666541936362e-10    3.146859859984176e-11    2.6305402835624446e-11    2.955592179255475e-11    3.034532182727176e-11    3.5681768732057556e-11
12_2    7.110503366947383e-11    6.117341613295728e-11    3.2375499197449074e-11    3.963609563261796e-11    1.1504562062400243e-10    1.7201865420011384e-10    3.293485535512239e-11    1.5326734895134484e-11    2.7017751567083687e-11    3.4226820075940797e-11    3.916921830552008e-11
13_2    5.693936627034886e-11    5.82719357837297e-11    3.6907859117645e-11    4.109114515970315e-11    1.1245540260277173e-10    1.3955447435020008e-10    3.703890708251717e-11    2.334908076525388e-11    2.8813422941680904e-11    3.067617279244335e-11    4.0631563097795784e-11
